TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,AnalysisSymbol,AppName,AppPath,AppTimeStamp,AppType,AppVersion,Applications_Application,Applications_Application_1,AttachedFiles,Binary,Bucket,BucketType,Buffer,BytesLeft,CA,CACertIdentifier,CACommonName,CabGuid,CabId,Context,DCName,DCSpecifier,Data_text,Data_text_0,Data_text_1,Data_text_2,Data_text_3,Data_text_4,Data_text_5,Data_text_6,Data_text_7,Data_text_8,Data_text_9,DisplayName,ErrorCode,ErrorMsg,ErrorString,EventName,ExceptionCode,ExeFileName,FaultingOffset,FullPath,HangType,HashedBucket,IntegratorReportId,LDAPPath,Library,MethodName,ModuleName,ModulePath,ModuleTimeStamp,ModuleVersion,Name,Namespace,Operation,OperationError,P1,P10,P2,P3,P4,P5,P6,P7,P8,P9,PackageFamily,PackageFullName,PackageRelativeAppId,Pid,PolicyModuleDescription,ProcessCreationTime,ProcessId,Reason,RebootReasons,Rechecking,RepairTriggerError,ReportId,ReportStatus,RequestId,Response,RmSessionId,ServerID,Service,StartTime,Status,StorePath,TSSessionId,TemplateName,TerminationTime,UTCStartTime,User,Version,WarningMessage,Win32Error,attributes_Name,attributes_xmlns,binaryData,binaryDataSize,nApplications,param1,param10,param11,param12,param2,param3,param4,param5,param6,param7,param8,param9
2026-03-26T05:15:12.458557Z,5615,WIN-N4R0DVP0PKP,Microsoft-Windows-WMI,Application,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26T05:15:12.824132Z,5617,WIN-N4R0DVP0PKP,Microsoft-Windows-WMI,Application,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26T05:15:26.814725Z,"{'#attributes': {'Qualifiers': 0}, '#text': 0}",WIN-N4R0DVP0PKP,edgeupdate,Application,3,4,,,,,,,,,,,,,,,,,,,,,,,Service stopped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26T05:15:25.826107Z,1531,WIN-N4R0DVP0PKP,Microsoft-Windows-User Profiles Service,Application,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26T05:15:59.899203Z,1532,WIN-N4R0DVP0PKP,Microsoft-Windows-User Profiles Service,Application,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26T05:16:33.600238Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1034}",WIN-N4R0DVP0PKP,Microsoft-Windows-Security-SPP,Application,6,4,,,,,,,,,,,,,,,,,,,,,,,,Security-SPP-WriteWauMarker,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26T05:16:33.647010Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1003}",WIN-N4R0DVP0PKP,Microsoft-Windows-Security-SPP,Application,7,4,,,,,,,,,,,,,,,,,,,,,,,,55c92734-d682-4d71-983e-d6ec3f16059f,"
1: 753c53a2-4274-4339-8c2e-f66c0b9646c5, 1, 0 [(0 )(1 )(2 )(3 [0x00000000, 0, 1], [(?)( 1 0x00000000)( 6 0x00000000 10 14399)(?)(?)(?)( 10 0x00000000 msft:rm/algorithm/flags/1.0)(?)])]

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26T05:16:33.543865Z,1531,WIN-N4R0DVP0PKP,Microsoft-Windows-User Profiles Service,Application,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26T05:16:34.265251Z,5615,WIN-N4R0DVP0PKP,Microsoft-Windows-WMI,Application,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26T05:16:38.650926Z,5617,WIN-N4R0DVP0PKP,Microsoft-Windows-WMI,Application,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
