TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,Binary,Data_text,Data_text_0,Data_text_1,Data_text_10,Data_text_11,Data_text_2,Data_text_3,Data_text_4,Data_text_5,Data_text_6,Data_text_7,Data_text_8,Data_text_9
2026-03-26T05:33:58.939782Z,"{'#attributes': {'Qualifiers': 0}, '#text': 102}",dc,NTDS ISAM,Directory Service,1,4,,,NTDS,"852,P,98,0",,,NTDSA: ,0,10,00,26100,0000,,
2026-03-26T05:33:58.964207Z,"{'#attributes': {'Qualifiers': 0}, '#text': 105}",dc,NTDS ISAM,Directory Service,2,4,,,NTDS,"852,D,0,0",,,NTDSA: ,0,0.031,"
[1] 0.000974 +J(0) +M(C:0K, Fs:96, WS:368K # 0K, PF:4556K # 0K, P:4556K)
[2] 0.000080 +J(0) +M(C:64K, Fs:4, WS:8K # 0K, PF:80K # 0K, P:80K)
[3] 0.000007 +J(0) +M(C:0K, Fs:1, WS:4K # 0K, PF:64K # 0K, P:64K)
[4] 0.005408 -0.000105 (1) WT +J(0) +M(C:0K, Fs:165, WS:584K # 0K, PF:6800K # 2776K, P:6800K)
[5] 0.000214 +J(0)
[6] 0.000622 +J(0) +M(C:0K, Fs:3, WS:8K # 0K, PF:12K # 12K, P:12K)
[7] -
[8] -
[9] -
[10] -
[11] -
[12] -
[13] 0.021056 -0.005321 (37) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:616/1) +M(C:0K, Fs:2697, WS:528K # 6168K, PF:4K # 10260K, P:4K)
[14] 0.000036 +J(0)
[15] 0.000785 +J(0) +M(C:0K, Fs:411, WS:1640K # 0K, PF:68K # 0K, P:68K)
[16] 0.001772 -0.000100 (2) WT +J(0) +M(C:0K, Fs:2, WS:0K # 0K, PF:0K # 0K, P:0K).","RBSOn = 0
",,,
2026-03-26T05:33:58.973779Z,"{'#attributes': {'Qualifiers': 0}, '#text': 330}",dc,NTDS ISAM,Directory Service,3,4,,,NTDS,"852,D,50,0",,,NTDSA: ,C:\WINDOWS\NTDS\ntds.dit,0x2580 (9600),9600 (0x2580),9620 (0x2594),,,
2026-03-26T05:33:58.976418Z,"{'#attributes': {'Qualifiers': 0}, '#text': 643}",dc,NTDS ISAM,Directory Service,4,3,,,NTDS,"852,D,50,0",,,NTDSA: ,C:\WINDOWS\NTDS\ntds.dit,en-US,00000001-57ee-1e5c-00b4-d0000bb1e11e,0006040300060403,00000001-57ee-1e5c-00b4-d0000bb1e11e,0006050200060502,
2026-03-26T05:33:58.976631Z,"{'#attributes': {'Qualifiers': 0}, '#text': 609}",dc,NTDS ISAM,Directory Service,5,4,,,NTDS,"852,D,50,0",26100,0,NTDSA: ,C:\WINDOWS\NTDS\ntds.dit,10,0,25911,0,10,0
2026-03-26T05:33:58.990080Z,"{'#attributes': {'Qualifiers': 0}, '#text': 614}",dc,NTDS ISAM,Directory Service,6,3,,,NTDS,"852,D,50,0",0006050200060502,,NTDSA: ,C:\WINDOWS\NTDS\ntds.dit,PDNT_index,datatable,en-US,00000001-57ee-1e5c-00b4-d0000bb1e11e,0006040300060403,00000001-57ee-1e5c-00b4-d0000bb1e11e
2026-03-26T05:33:58.994080Z,"{'#attributes': {'Qualifiers': 0}, '#text': 327}",dc,NTDS ISAM,Directory Service,7,4,,,NTDS,"852,D,50,0",,,NTDSA: ,1,C:\WINDOWS\NTDS\ntds.dit,0,"
[1] 0.000002 +J(0)
[2] 0.0 +J(0)
[3] 0.000002 +J(0)
[4] 0.0 +J(0)
[5] 0.0 +J(0)
[6] 0.000142 +J(0)
[7] 0.000021 +J(0)
[8] 0.000353 -0.000122 (1) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:4042/2)
[9] 0.002747 -0.001279 (6) WT +J(0) +M(C:0K, Fs:10, WS:-20K # 0K, PF:-20K # 0K, P:-20K)
[10] 0.000145 +J(0)
[11] 0.000082 +J(0) +M(C:0K, Fs:0, WS:-96K # 0K, PF:-96K # 0K, P:-96K).",0 0,lgposDetach = 00000001:0002:0036,
2026-03-26T05:33:58.999061Z,"{'#attributes': {'Qualifiers': 0}, '#text': 330}",dc,NTDS ISAM,Directory Service,8,4,,,NTDS,"852,D,50,0",,,NTDSA: ,C:\WINDOWS\NTDS\ntds.dit,0x2580 (9600),9600 (0x2580),9620 (0x2594),,,
2026-03-26T05:33:59.000715Z,"{'#attributes': {'Qualifiers': 0}, '#text': 326}",dc,NTDS ISAM,Directory Service,9,4,,,NTDS,"852,D,50,0",,,NTDSA: ,1,C:\WINDOWS\NTDS\ntds.dit,0,"
[1] 0.000002 +J(0)
[2] 0.000235 -0.000044 (1) WT +J(0) +M(C:0K, Fs:24, WS:32K # 0K, PF:32K # 0K, P:32K)
[3] 0.002432 -0.000959 (6) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:4096/2) +M(C:0K, Fs:14, WS:24K # 0K, PF:20K # 0K, P:20K)
[4] 0.000402 +J(0)
[5] -
[6] 0.000308 -0.000170 (2) CM -0.000110 (2) WT +J(CM:2, PgRf:2, Rd:0/2, Dy:0/0, Lg:0/0) +M(C:-24K, Fs:8, WS:-24K # 0K, PF:-24K # 0K, P:-24K)
[7] 0.000002 +J(0)
[8] 0.000375 -0.000174 (1) CM -0.000147 (1) WT +J(CM:1, PgRf:1, Rd:6/1, Dy:0/0, Lg:0/0) +M(C:220K, Fs:46, WS:156K # 0K, PF:220K # 0K, P:220K)
[9] -
[10] -
[11] -
[12] 0.000527 +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:54/1) +M(C:0K, Fs:1, WS:4K # 0K, PF:0K # 0K, P:0K)
[13] 0.000445 -0.000228 (3) CM -0.000142 (3) WT +J(CM:3, PgRf:23, Rd:0/3, Dy:0/0, Lg:0/0) +M(C:-80K, Fs:16, WS:-16K # 0K, PF:-80K # 0K, P:-80K)
[14] 0.000121 -0.000062 (1) CM -0.000036 (1) WT +J(CM:1, PgRf:40, Rd:0/1, Dy:0/0, Lg:0/0) +M(C:-28K, Fs:1, WS:-24K # 0K, PF:-24K # 0K, P:-24K)
[15] 0.000084 -0.000051 (1) CM -0.000033 (1) WT +J(CM:1, PgRf:1, Rd:0/1, Dy:0/0, Lg:0/0) +M(C:0K, Fs:7, WS:0K # 0K, PF:0K # 0K, P:0K)
[16] 0.000006 +J(CM:0, PgRf:1, Rd:0/0, Dy:0/0, Lg:0/0)
[17] 0.0 +J(0)
[18] 0.0 +J(0)
[19] 0.0 +J(0)
[20] 0.000436 -0.000203 (2) WT +J(CM:0, PgRf:2, Rd:0/0, Dy:0/0, Lg:0/0) +M(C:0K, Fs:8, WS:0K # 0K, PF:0K # 0K, P:0K).",1 0,"lgposAttach = 00000001:0003:0000,
dbv = 1568.290.600 (9600)",
2026-03-26T05:33:59.006158Z,"{'#attributes': {'Qualifiers': 0}, '#text': 330}",dc,NTDS ISAM,Directory Service,10,4,,,NTDS,"852,D,2,0",,,NTDSA: ,C:\WINDOWS\NTDS\temp.edb,0x2580 (9600),9600 (0x2580),9620 (0x2594),,,
