TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,Address,CallerImageName,ClientProcessId,Function,Param1,Reason,Session,SessionID,SessionId,Source,TargetSession,User,attributes_xmlns,messageName
2026-03-26T05:15:02.061630Z,32,WIN-N4R0DVP0PKP,Microsoft-Windows-TerminalServices-LocalSessionManager,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,1,4,,,,,,,,,,,,,Event_NS,RDSAppXPlugin
2026-03-26T05:15:02.065754Z,34,WIN-N4R0DVP0PKP,Microsoft-Windows-TerminalServices-LocalSessionManager,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,2,4,,,,,,,,,,,,,,
2026-03-26T05:15:02.067934Z,34,WIN-N4R0DVP0PKP,Microsoft-Windows-TerminalServices-LocalSessionManager,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,3,4,,,,,,,,,,,,,,
2026-03-26T05:15:02.068255Z,34,WIN-N4R0DVP0PKP,Microsoft-Windows-TerminalServices-LocalSessionManager,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,4,4,,,,,,,,,,,,,,
2026-03-26T05:15:02.068373Z,34,WIN-N4R0DVP0PKP,Microsoft-Windows-TerminalServices-LocalSessionManager,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,5,4,,,,,,,,,,,,,,
2026-03-26T05:15:02.068627Z,34,WIN-N4R0DVP0PKP,Microsoft-Windows-TerminalServices-LocalSessionManager,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,6,4,,,,,,,,,,,,,,
2026-03-26T05:15:09.925674Z,34,WIN-N4R0DVP0PKP,Microsoft-Windows-TerminalServices-LocalSessionManager,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,7,4,,,,,,,,,,,,,,
2026-03-26T05:15:09.926677Z,34,WIN-N4R0DVP0PKP,Microsoft-Windows-TerminalServices-LocalSessionManager,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,8,4,,,,,,,,,,,,,,
2026-03-26T05:15:09.973690Z,34,WIN-N4R0DVP0PKP,Microsoft-Windows-TerminalServices-LocalSessionManager,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,9,4,,,,,,,,,,,,,,
2026-03-26T05:15:09.974388Z,34,WIN-N4R0DVP0PKP,Microsoft-Windows-TerminalServices-LocalSessionManager,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,10,4,,,,,,,,,,,,,,
