"TimeGenerated","Computer","UserName","EventID","Source","Activity","ObjectName","SidHistory","PrivilegeList","TicketEncryptionType","IpAddress"
"16/8/2026, 3:29:04.73141 pm","DC01.darkzero.htb","SYSTEM","4624","Security","Logon","","","","","-"
"16/8/2026, 3:29:06.492735 pm","DC01.darkzero.htb","","{'#attributes': {'Qualifiers': 32768}, '#text': 3054}","DirectoryService","Replication Event","","","","",""
"16/8/2026, 3:29:06.492735 pm","DC01.darkzero.htb","","{'#attributes': {'Qualifiers': 32768}, '#text': 3051}","DirectoryService","Replication Event","","","","",""
"16/8/2026, 3:29:07.112244 pm","DC01.darkzero.htb","","{'#attributes': {'Qualifiers': 16384}, '#text': 2121}","DirectoryService","Replication Event","","","","",""
"16/8/2026, 3:29:07.112244 pm","DC01.darkzero.htb","","{'#attributes': {'Qualifiers': 16384}, '#text': 2406}","DirectoryService","Replication Event","Recycle Bin Feature","","","",""
"16/8/2026, 3:29:07.112244 pm","DC01.darkzero.htb","","{'#attributes': {'Qualifiers': 16384}, '#text': 2406}","DirectoryService","Replication Event","Privileged Access Management Feature","","","",""
"16/8/2026, 3:29:07.112244 pm","DC01.darkzero.htb","","{'#attributes': {'Qualifiers': 16384}, '#text': 2406}","DirectoryService","Replication Event","Database 32k Pages Feature","","","",""
"16/8/2026, 3:29:07.114344 pm","DC01.darkzero.htb","","{'#attributes': {'Qualifiers': 32768}, '#text': 2170}","DirectoryService","Replication Event","","","","",""
"16/8/2026, 3:29:07.114344 pm","DC01.darkzero.htb","","{'#attributes': {'Qualifiers': 16384}, '#text': 2172}","DirectoryService","Replication Event","7921710597112548798","","","",""
"16/8/2026, 3:29:07.114344 pm","DC01.darkzero.htb","","{'#attributes': {'Qualifiers': 16384}, '#text': 2168}","DirectoryService","Replication Event","4498488127653702920","","","",""
"16/8/2026, 3:29:07.119509 pm","DC01.darkzero.htb","","{'#attributes': {'Qualifiers': 16384}, '#text': 1109}","DirectoryService","Replication Event","","","","",""
"16/8/2026, 3:29:07.151417 pm","DC01.darkzero.htb","","{'#attributes': {'Qualifiers': 16384}, '#text': 2179}","DirectoryService","Replication Event","4498488127653702920","","","",""
"16/8/2026, 3:29:07.151417 pm","DC01.darkzero.htb","","{'#attributes': {'Qualifiers': 16384}, '#text': 2208}","DirectoryService","Replication Event","","","","",""
"16/8/2026, 3:29:07.164027 pm","DC01.darkzero.htb","","{'#attributes': {'Qualifiers': 16384}, '#text': 2405}","DirectoryService","Replication Event","Recycle Bin Feature","","","",""
"16/8/2026, 3:29:07.164027 pm","DC01.darkzero.htb","","{'#attributes': {'Qualifiers': 16384}, '#text': 2405}","DirectoryService","Replication Event","Privileged Access Management Feature","","","",""
"16/8/2026, 3:29:07.164027 pm","DC01.darkzero.htb","","{'#attributes': {'Qualifiers': 16384}, '#text': 2120}","DirectoryService","Replication Event","","","","",""
"16/8/2026, 3:29:07.166724 pm","DC01.darkzero.htb","","{'#attributes': {'Qualifiers': 16384}, '#text': 2405}","DirectoryService","Replication Event","Database 32k Pages Feature","","","",""
"16/8/2026, 3:29:07.357831 pm","DC01.darkzero.htb","SYSTEM","4624","Security","Logon","","","","","-"
