TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,Binary,Data_text,Data_text_0,Data_text_1,Data_text_10,Data_text_11,Data_text_2,Data_text_3,Data_text_4,Data_text_5,Data_text_6,Data_text_7,Data_text_8,Data_text_9
2026-04-06T08:58:56.991966Z,"{'#attributes': {'Qualifiers': 0}, '#text': 102}",DC01,NTDS ISAM,Directory Service,1,4,,,NTDS,"868,P,98,0",,,NTDSA: ,0,10,00,26100,0000,,
2026-04-06T08:58:57.061610Z,"{'#attributes': {'Qualifiers': 0}, '#text': 105}",DC01,NTDS ISAM,Directory Service,2,4,,,NTDS,"868,D,0,0",,,NTDSA: ,0,0.080,"
[1] 0.000934 +J(0) +M(C:0K, Fs:93, WS:360K # 0K, PF:4512K # 0K, P:4512K)
[2] 0.000278 +J(0) +M(C:64K, Fs:10, WS:28K # 0K, PF:988K # 0K, P:988K)
[3] 0.000020 +J(0) +M(C:0K, Fs:5, WS:20K # 0K, PF:64K # 0K, P:64K)
[4] 0.008905 -0.000314 (1) WT +J(0) +M(C:0K, Fs:158, WS:556K # 0K, PF:7540K # 4428K, P:7540K)
[5] 0.000498 +J(0)
[6] 0.001205 +J(0) +M(C:0K, Fs:4, WS:16K # 0K, PF:16K # 16K, P:16K)
[7] -
[8] -
[9] -
[10] -
[11] -
[12] -
[13] 0.061372 -0.011505 (42) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:616/1) +M(C:0K, Fs:2699, WS:528K # 6196K, PF:4K # 10260K, P:4K)
[14] 0.000025 +J(0)
[15] 0.000995 +J(0) +M(C:0K, Fs:819, WS:3276K # 0K, PF:64K # 0K, P:64K)
[16] 0.006149 -0.000235 (3) WT +J(0) +M(C:0K, Fs:2, WS:0K # 0K, PF:0K # 0K, P:0K).","RBSOn = 0
",,,
2026-04-06T08:58:57.079653Z,"{'#attributes': {'Qualifiers': 0}, '#text': 330}",DC01,NTDS ISAM,Directory Service,3,4,,,NTDS,"868,D,50,0",,,NTDSA: ,C:\Windows\NTDS\ntds.dit,0x2580 (9600),9600 (0x2580),9620 (0x2594),,,
2026-04-06T08:58:57.084793Z,"{'#attributes': {'Qualifiers': 0}, '#text': 643}",DC01,NTDS ISAM,Directory Service,4,3,,,NTDS,"868,D,50,0",,,NTDSA: ,C:\Windows\NTDS\ntds.dit,en-US,00000001-57ee-1e5c-00b4-d0000bb1e11e,0006040300060403,00000001-57ee-1e5c-00b4-d0000bb1e11e,0006050200060502,
2026-04-06T08:58:57.085099Z,"{'#attributes': {'Qualifiers': 0}, '#text': 609}",DC01,NTDS ISAM,Directory Service,5,4,,,NTDS,"868,D,50,0",26100,0,NTDSA: ,C:\Windows\NTDS\ntds.dit,10,0,25911,0,10,0
2026-04-06T08:58:57.107868Z,"{'#attributes': {'Qualifiers': 0}, '#text': 614}",DC01,NTDS ISAM,Directory Service,6,3,,,NTDS,"868,D,50,0",0006050200060502,,NTDSA: ,C:\Windows\NTDS\ntds.dit,PDNT_index,datatable,en-US,00000001-57ee-1e5c-00b4-d0000bb1e11e,0006040300060403,00000001-57ee-1e5c-00b4-d0000bb1e11e
2026-04-06T08:58:57.114490Z,"{'#attributes': {'Qualifiers': 0}, '#text': 327}",DC01,NTDS ISAM,Directory Service,7,4,,,NTDS,"868,D,50,0",,,NTDSA: ,1,C:\Windows\NTDS\ntds.dit,0,"
[1] 0.000008 +J(0)
[2] 0.000001 +J(0)
[3] 0.000004 +J(0)
[4] 0.000001 +J(0)
[5] 0.000001 +J(0)
[6] 0.000420 +J(0)
[7] 0.000026 +J(0)
[8] 0.000811 -0.000437 (1) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:4042/2)
[9] 0.004162 -0.002249 (6) WT +J(0) +M(C:0K, Fs:10, WS:-20K # 0K, PF:-20K # 0K, P:-20K)
[10] 0.000304 +J(0)
[11] 0.000148 +J(0) +M(C:0K, Fs:0, WS:-96K # 0K, PF:-96K # 0K, P:-96K).",0 0,lgposDetach = 00000001:0002:0036,
2026-04-06T08:58:57.123099Z,"{'#attributes': {'Qualifiers': 0}, '#text': 330}",DC01,NTDS ISAM,Directory Service,8,4,,,NTDS,"868,D,50,0",,,NTDSA: ,C:\Windows\NTDS\ntds.dit,0x2580 (9600),9600 (0x2580),9620 (0x2594),,,
2026-04-06T08:58:57.126940Z,"{'#attributes': {'Qualifiers': 0}, '#text': 326}",DC01,NTDS ISAM,Directory Service,9,4,,,NTDS,"868,D,50,0",,,NTDSA: ,1,C:\Windows\NTDS\ntds.dit,0,"
[1] 0.000004 +J(0)
[2] 0.000847 -0.000271 (1) WT +J(0) +M(C:0K, Fs:24, WS:32K # 0K, PF:32K # 0K, P:32K)
[3] 0.003738 -0.001493 (6) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:4096/2) +M(C:0K, Fs:14, WS:24K # 0K, PF:20K # 0K, P:20K)
[4] 0.000560 +J(0)
[5] -
[6] 0.000748 -0.000618 (2) CM -0.000534 (2) WT +J(CM:2, PgRf:2, Rd:0/2, Dy:0/0, Lg:0/0) +M(C:-24K, Fs:8, WS:-24K # 0K, PF:-24K # 0K, P:-24K)
[7] 0.000003 +J(0)
[8] 0.001092 -0.000695 (1) CM -0.000674 (1) WT +J(CM:1, PgRf:1, Rd:8/0, Dy:0/0, Lg:0/0) +M(C:156K, Fs:46, WS:156K # 0K, PF:156K # 0K, P:156K)
[9] -
[10] -
[11] -
[12] 0.000511 +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:54/1) +M(C:0K, Fs:1, WS:4K # 0K, PF:0K # 0K, P:0K)
[13] 0.001377 -0.001018 (3) CM -0.000874 (3) WT +J(CM:3, PgRf:23, Rd:0/3, Dy:0/0, Lg:0/0) +M(C:-76K, Fs:1, WS:-76K # 0K, PF:-76K # 0K, P:-76K)
[14] 0.000961 -0.000671 (2) CM -0.000582 (2) WT +J(CM:2, PgRf:40, Rd:0/2, Dy:0/0, Lg:0/0) +M(C:16K, Fs:12, WS:16K # 0K, PF:16K # 0K, P:16K)
[15] 0.000010 +J(CM:0, PgRf:1, Rd:0/0, Dy:0/0, Lg:0/0)
[16] 0.000010 +J(CM:0, PgRf:1, Rd:0/0, Dy:0/0, Lg:0/0)
[17] 0.000001 +J(0)
[18] 0.0 +J(0)
[19] 0.0 +J(0)
[20] 0.000920 -0.000498 (2) WT +J(CM:0, PgRf:2, Rd:0/0, Dy:0/0, Lg:0/0) +M(C:0K, Fs:8, WS:0K # 0K, PF:0K # 0K, P:0K).",1 0,"lgposAttach = 00000001:0003:0000,
dbv = 1568.290.600 (9600)",
2026-04-06T08:58:57.138906Z,"{'#attributes': {'Qualifiers': 0}, '#text': 330}",DC01,NTDS ISAM,Directory Service,10,4,,,NTDS,"868,D,2,0",,,NTDSA: ,C:\Windows\NTDS\temp.edb,0x2580 (9600),9600 (0x2580),9620 (0x2594),,,
