TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,AADDomainJoin,ADDomainJoin,AccountName,AdapterName,AdaptiveTargetState,AddServiceStatus,AdditionalInfo,Address,AddressLength,AttemptedRecoveryEnforcementSucceeded,BackupPath,Binary,BitlockerUserInputTime,BootId,BootMenuPolicy,BootMode,BootStatusPolicy,BootStlEnforced,BootType,BucketConfidenceLevel,BucketId,BufferFlushNeeded,BuildArch,BuildBranch,BuildNumber,BuildVersion,CacheFlushNeeded,CacheFlushSupported,CallerProcessId,CallerProcessImageName,ChannelPath,ClientPID,ClientProcessId,ClientProcessStartKey,CmosTime,Command line,ComputerName,Config,CorruptionActionState,CountNew,CountOld,CurrentBias,CurrentStratumNumber,CurrentTimeZoneID,DCName,Data_text,Data_text_0,Data_text_1,Data_text_2,Data_text_3,Data_text_4,Data_text_5,Data_text_6,Date,Debug,Default SD String:,DeviceAttributes,DeviceInstanceID,DeviceName,DeviceNameLength,DeviceObject,DeviceTime,DeviceVersionMajor,DeviceVersionMinor,DirtyPages,DisabledLoadOption,DomainController,DomainPeer,DriveName,DriverFileName,DueTime,DwordVal,EfiDaylightFlags,EfiTime,EfiTimeZoneBias,EnableDisableReason,Enabled,EnabledFeatures,EnabledNew,EntryCount,ErrorCode,ErrorMessage,ErrorPhase,ErrorString,Errorcode,ExecutablePath,ExitReason,FailureReason,FileStartTime,FinalStatus,FirstRefresh,Flags,GracePeriod,Group,GroupName,HRESULT,HResult,HalRtcErrorCode,HardwareChecks,HardwareEnabled,HardwarePresent,HiveName,HiveNameLength,IdleImplementation,IdleStateCount,IfGuid,IfIndex,IfLuid,ImageName,ImagePath,InternalBootFlags,InternalInfo,IsAutoEnabled,IsLicensed,IsSoftBoot,IsTestConfig,IsUnattended,KeysUpdated,LastBootGood,LastBootId,LastShutdownGood,LoadOptions,LoaderTime,LocalStatus,LookupType,MajorVersion,MaximumPerformancePercent,MdClearSupported,MinimumPasswordLength,MinimumPasswordLengthAudit,MinimumPerformancePercent,MinimumThrottlePercent,MiniportEventEnum,MinorVersion,MonitorReason,Name,NewLatchTimerNeeded,NewLatchTimerWaitingSystemUpdateCompletion,NewNicIPv4RscEnabled,NewNicIPv6RscEnabled,NewPortRscEnabled,NewSchemeGuid,NewSize,NewTime,NewTimerNeeded,NewTimerWaitingUpdateCompletion,NextSessionId,NextSessionType,NextUpdate,NicFName,NicFNameLen,NicInstanceId,NicName,NicNameLen,NominalFrequency,NormalProcessId,NotAffectedAtom,NotAffectedMdsNo,NotAffectedRdclNo,Number,NumberOfGroupPolicyObjects,OCSPResponderURL,OSEditionID,OSName,OSbuildversion,OSmajorversion,OSminorversion,OSservicepackName,OSservicepackmajorversion,OSservicepackminorversion,Official,OldNicIPv4RscEnabled,OldNicIPv6RscEnabled,OldPortRscEnabled,OldSchemeGuid,OldTime,Operation,OriginalSize,OwnerService,Parent Process 1,Parent Process 10,Parent Process 2,Parent Process 3,Parent Process 4,Parent Process 5,Parent Process 6,Parent Process 7,Parent Process 8,Parent Process 9,ParentHypervisorFlushes,PerformanceImplementation,Phase,Policy,PolicyFileExists,PortFName,PortFNameLen,PortName,PortNameLen,PowerStateAc,PreviousEnergyCapacityAtEnd,PreviousEnergyCapacityAtStart,PreviousFullEnergyCapacityAtEnd,PreviousFullEnergyCapacityAtStart,PreviousLatchTimerExistsButDisabled,PreviousSessionDurationInUs,PreviousSessionId,PreviousSessionType,PreviousTimerExists,PreviousTimerExistsButDisabled,PreviousTimerStartTime,PrimaryService,Problems,ProcessID,ProcessId,ProcessName,ProcessPath,ProcessPid,ProcessingMode,ProcessingTimeInMilliseconds,PublisherGuid,QfeVersion,QueryName,RealTimeIsUniversal,Reason,Reboot Reason,RelaxMinimumPasswordLengthLimits,ReserveStatus,RetryMinutes,RscStateModifiedReason,SchedulerType,ServiceName,ServiceType,ServiceVersion,ShutdownActionType,ShutdownEventCode,ShutdownReason,Sid,SmtEnabled,StartTime,StartType,State,Status,StopTime,SubjectDomainName,SubjectUserName,Success,SupportInfo1,SupportInfo2,SupportedFeatures,SwitchFName,SwitchFNameLen,SwitchName,SwitchNameLen,SystemInCmosMode,SystemTime,TSId,ThisUpdate,Time,TimeDeltaInMs,TimeRemainingToSetLocalClockFreeRunningSeconds,TimeSource,TimeSourceRefId,TimeZoneBias,TimeZoneInfoCacheUpdated,TrustName,TrustletIdentity,UnsynchronizedTimeSeconds,UpdateReason,UpdateService,UpdateType,Url,UrlGroupId,UserSid,VMId,VMIdLen,VMName,VMNameLen,VsmPolicy,attributes_Name,attributes_xmlns,error,errorCode,param1,param10,param11,param2,param3,param4,param5,param6,param7,param8,param9,serviceGuid,spn1,spn2,updateGuid,updateRevisionNumber,updateTitle,win32Error
2026-04-05T16:51:45.768410Z,104,WIN-10087MEU94D,Microsoft-Windows-Eventlog,System,603,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,1125899906842904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN-10087MEU94D,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://manifests.microsoft.com/win/2004/08/windows/eventlog,,,,,,,,,,,,,,,,,,,,
2026-04-05T16:51:45.772456Z,104,WIN-10087MEU94D,Microsoft-Windows-Eventlog,Application,604,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,1125899906842904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN-10087MEU94D,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://manifests.microsoft.com/win/2004/08/windows/eventlog,,,,,,,,,,,,,,,,,,,,
2026-04-05T16:51:45.779485Z,104,WIN-10087MEU94D,Microsoft-Windows-Eventlog,Setup,605,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,1125899906842904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN-10087MEU94D,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://manifests.microsoft.com/win/2004/08/windows/eventlog,,,,,,,,,,,,,,,,,,,,
2026-04-05T16:51:46.099762Z,16977,WIN-10087MEU94D,Microsoft-Windows-Directory-Services-SAM,System,606,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMMSG_MINPWDLEN_SETTINGS_IN_EFFECT,,,,,,,,,,,,,,,,,,,,,
2026-04-05T16:51:46.167825Z,16977,WIN-10087MEU94D,Microsoft-Windows-Directory-Services-SAM,System,607,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMMSG_MINPWDLEN_SETTINGS_IN_EFFECT,,,,,,,,,,,,,,,,,,,,,
2026-04-05T16:51:46.259291Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 7036}",WIN-10087MEU94D,Service Control Manager,System,608,4,,,,,,,,,,,,4D0053004400540043002F0031000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Distributed Transaction Coordinator,,,stopped,,,,,,,,,,,,,,
2026-04-05T16:51:46.796948Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 7036}",WIN-10087MEU94D,Service Control Manager,System,609,4,,,,,,,,,,,,550041004C005300560043002F0031000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,User Access Logging Service,,,stopped,,,,,,,,,,,,,,
2026-04-05T16:51:47.230297Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 7036}",WIN-10087MEU94D,Service Control Manager,System,610,4,,,,,,,,,,,,44006500760069006300650049006E007300740061006C006C002F0031000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Device Install Service,,,stopped,,,,,,,,,,,,,,
2026-04-05T16:51:47.409519Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 7036}",WIN-10087MEU94D,Service Control Manager,System,611,4,,,,,,,,,,,,44006F005300760063002F0031000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delivery Optimization,,,stopped,,,,,,,,,,,,,,
2026-04-05T16:51:48.597673Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 7036}",WIN-10087MEU94D,Service Control Manager,System,612,4,,,,,,,,,,,,770075006100750073006500720076002F0031000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows Update,,,stopped,,,,,,,,,,,,,,
