"ColumnName","ColumnOrdinal","DataType","ColumnType"
"TimeGenerated","0","System.DateTime","datetime"
"EventID","1","System.String","string"
"Computer","2","System.String","string"
"Provider","3","System.String","string"
"Channel","4","System.String","string"
"RecordID","5","System.String","string"
"Level","6","System.Int64","long"
"AnalysisSymbol","7","System.String","string"
"AppType","8","System.String","string"
"AppVersion","9","System.Int64","long"
"Applications_Application","10","System.String","string"
"AttachedFiles","11","System.String","string"
"Binary","12","System.String","string"
"Bucket","13","System.DateTime","datetime"
"BucketType","14","System.String","string"
"CACertIdentifier","15","System.Int64","long"
"CACommonName","16","System.String","string"
"CabGuid","17","System.String","string"
"CabId","18","System.String","string"
"Component","19","System.Guid","guid"
"Context","20","System.String","string"
"DCName","21","System.String","string"
"DCSpecifier","22","System.String","string"
"Data_text","23","System.String","string"
"Data_text_0","24","System.String","string"
"Data_text_1","25","System.String","string"
"Data_text_2","26","System.String","string"
"Data_text_3","27","System.String","string"
"Data_text_4","28","System.String","string"
"Data_text_5","29","System.Object","dynamic"
"Data_text_6","30","System.Object","dynamic"
"Data_text_7","31","System.String","string"
"Data_text_8","32","System.String","string"
"DisplayName","33","System.String","string"
"Error","34","System.String","string"
"ErrorCode","35","System.String","string"
"ErrorMsg","36","System.String","string"
"ErrorString","37","System.String","string"
"Event","38","System.String","string"
"EventName","39","System.String","string"
"FullPath","40","System.String","string"
"HashedBucket","41","System.Guid","guid"
"LDAPPath","42","System.String","string"
"Library","43","System.String","string"
"MethodName","44","System.String","string"
"Namespace","45","System.String","string"
"P1","46","System.String","string"
"P10","47","System.String","string"
"P2","48","System.String","string"
"P3","49","System.String","string"
"P4","50","System.Int64","long"
"P5","51","System.String","string"
"P6","52","System.String","string"
"P7","53","System.String","string"
"P8","54","System.String","string"
"P9","55","System.String","string"
"Pid","56","System.String","string"
"PolicyModuleDescription","57","System.String","string"
"Reason","58","System.Int64","long"
"RebootReasons","59","System.Int64","long"
"Rechecking","60","System.Int64","long"
"ReportId","61","System.Guid","guid"
"ReportStatus","62","System.Int64","long"
"Response","63","System.String","string"
"RmSessionId","64","System.String","string"
"ServerID","65","System.String","string"
"ServerURL","66","System.Guid","guid"
"Status","67","System.Int64","long"
"StorePath","68","System.String","string"
"TSSessionId","69","System.String","string"
"UTCStartTime","70","System.DateTime","datetime"
"Version","71","System.String","string"
"Win32Error","72","System.Int64","long"
"attributes_Name","73","System.String","string"
"attributes_xmlns","74","System.String","string"
"binaryData","75","System.String","string"
"binaryDataSize","76","System.Int64","long"
"nApplications","77","System.Int64","long"
"param1","78","System.String","string"
"param10","79","System.Int64","long"
"param11","80","System.Int64","long"
"param12","81","System.Int64","long"
"param2","82","System.String","string"
"param3","83","System.String","string"
"param4","84","System.String","string"
"param5","85","System.Int64","long"
"param6","86","System.Int64","long"
"param7","87","System.Int64","long"
"param8","88","System.String","string"
"param9","89","System.String","string"
