mcp-dev@devhub:~$ ps auxf                                                                                                                                                                                                                                    
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND                                                                                                                                                                                   
root           2  0.0  0.0      0     0 ?        S    01:09   0:00 [kthreadd]                                                                                                                                                                                
root           3  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [rcu_gp]                                                                                                                                                                              
root           4  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [rcu_par_gp]                                                                                                                                                                          
root           5  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [slub_flushwq]                                                                                                                                                                        
root           6  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [netns]                                                                                                                                                                               
root           8  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [kworker/0:0H-events_highpri]                                                                                                                                                         
root          10  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [mm_percpu_wq]                                                                                                                                                                        
root          11  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [rcu_tasks_rude_]                                                                                                                                                                     
root          12  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [rcu_tasks_trace]                                                                                                                                                                     
root          13  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [ksoftirqd/0]                                                                                                                                                                         
root          14  0.0  0.0      0     0 ?        I    01:09   0:01  \_ [rcu_sched]                                                                                                                                                                           
root          15  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [migration/0]                                                                                                                                                                         
root          16  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [idle_inject/0]                                                                                                                                                                       
root          17  0.0  0.0      0     0 ?        I    01:09   0:02  \_ [kworker/0:1-cgroup_free]                                                                                                                                                             
root          18  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [cpuhp/0]                                                                                                                                                                             
root          19  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [cpuhp/1]                                                                                                                                                                             
root          20  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [idle_inject/1]                                                                                                                                                                       
root          21  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [migration/1]                                                                                                                                                                         
root          22  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [ksoftirqd/1]                                                                                                                                                                         
root          24  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [kworker/1:0H-events_highpri]                                                                                                                                                         
root          25  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [kdevtmpfs]                                                                                                                                                                           
root          26  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [inet_frag_wq]                                                                                                                                                                        
root          27  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [kauditd]                                                                                                                                                                             
root          28  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [khungtaskd]                                                                                                                                                                          
root          29  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [oom_reaper]                                                                                                                                                                          
root          30  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [writeback]                                                                                                                                                                           
root          31  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [kcompactd0]                                                                                                                                                                          
root          32  0.0  0.0      0     0 ?        SN   01:09   0:00  \_ [ksmd]                                                                                                                                                                                
root          33  0.0  0.0      0     0 ?        SN   01:09   0:00  \_ [khugepaged]                                                                                                                                                                          
root          80  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [kintegrityd]                                                                                                                                                                         
root          81  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [kblockd]                                                                                                                                                                             
root          82  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [blkcg_punt_bio]                                                                                                                                                                      
root          83  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [tpm_dev_wq]                                                                                                                                                                          
root          84  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [ata_sff]    
root          85  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [md]                                                                                                                                                                                  
root          86  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [edac-poller]                                                                                                                                                                         
root          87  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [devfreq_wq]
root          88  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [watchdogd]
root          90  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [kworker/0:1H-kblockd]
root          92  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [kswapd0]
root          93  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [ecryptfs-kthrea]
root          95  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [kthrotld]
root          96  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/24-pciehp]
root          97  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/25-pciehp]
root          98  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/26-pciehp]
root          99  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/27-pciehp]
root         100  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/28-pciehp]
root         101  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/29-pciehp]
