2026-06-23 11:15:21 startup archives unpack
2026-06-23 11:15:21 install netfilter-persistent:all <none> 1.0.20
2026-06-23 11:15:21 status half-installed netfilter-persistent:all 1.0.20
2026-06-23 11:15:21 status triggers-pending man-db:amd64 2.12.0-4build2
2026-06-23 11:15:21 status unpacked netfilter-persistent:all 1.0.20
2026-06-23 11:15:22 install iptables-persistent:all <none> 1.0.20
2026-06-23 11:15:22 status half-installed iptables-persistent:all 1.0.20
2026-06-23 11:15:22 status unpacked iptables-persistent:all 1.0.20
2026-06-23 11:15:22 startup packages configure
2026-06-23 11:15:22 configure netfilter-persistent:all 1.0.20 <none>
2026-06-23 11:15:22 status unpacked netfilter-persistent:all 1.0.20
2026-06-23 11:15:22 status half-configured netfilter-persistent:all 1.0.20
2026-06-23 11:15:23 status installed netfilter-persistent:all 1.0.20
2026-06-23 11:15:23 configure iptables-persistent:all 1.0.20 <none>
2026-06-23 11:15:23 status unpacked iptables-persistent:all 1.0.20
2026-06-23 11:15:23 status half-configured iptables-persistent:all 1.0.20
2026-06-23 11:15:25 status installed iptables-persistent:all 1.0.20
2026-06-23 11:15:25 trigproc man-db:amd64 2.12.0-4build2 <none>
2026-06-23 11:15:25 status half-configured man-db:amd64 2.12.0-4build2
2026-06-23 11:15:32 status installed man-db:amd64 2.12.0-4build2
2026-06-23 14:02:29 startup archives unpack
2026-06-23 14:02:29 upgrade systemd-dev:all 255.4-1ubuntu8.15 255.4-1ubuntu8.16
2026-06-23 14:02:29 status half-configured systemd-dev:all 255.4-1ubuntu8.15
2026-06-23 14:02:29 status unpacked systemd-dev:all 255.4-1ubuntu8.15
2026-06-23 14:02:29 status half-installed systemd-dev:all 255.4-1ubuntu8.15
2026-06-23 14:02:29 status unpacked systemd-dev:all 255.4-1ubuntu8.16
2026-06-23 14:02:30 upgrade systemd-timesyncd:amd64 255.4-1ubuntu8.15 255.4-1ubuntu8.16
2026-06-23 14:02:30 status half-configured systemd-timesyncd:amd64 255.4-1ubuntu8.15
2026-06-23 14:02:30 status unpacked systemd-timesyncd:amd64 255.4-1ubuntu8.15
2026-06-23 14:02:30 status half-installed systemd-timesyncd:amd64 255.4-1ubuntu8.15
2026-06-23 14:02:30 status triggers-pending dbus:amd64 1.14.10-4ubuntu4.1
2026-06-23 14:02:30 status triggers-pending man-db:amd64 2.12.0-4build2
2026-06-23 14:02:30 status unpacked systemd-timesyncd:amd64 255.4-1ubuntu8.16
2026-06-23 14:02:30 upgrade systemd-resolved:amd64 255.4-1ubuntu8.15 255.4-1ubuntu8.16
2026-06-23 14:02:30 status half-configured systemd-resolved:amd64 255.4-1ubuntu8.15
2026-06-23 14:02:30 status unpacked systemd-resolved:amd64 255.4-1ubuntu8.15
2026-06-23 14:02:30 status half-installed systemd-resolved:amd64 255.4-1ubuntu8.15
2026-06-23 14:02:30 status unpacked systemd-resolved:amd64 255.4-1ubuntu8.16
2026-06-23 14:02:30 upgrade libsystemd-shared:amd64 255.4-1ubuntu8.15 255.4-1ubuntu8.16
2026-06-23 14:02:30 status half-configured libsystemd-shared:amd64 255.4-1ubuntu8.15
2026-06-23 14:02:30 status unpacked libsystemd-shared:amd64 255.4-1ubuntu8.15
2026-06-23 14:02:30 status half-installed libsystemd-shared:amd64 255.4-1ubuntu8.15
2026-06-23 14:02:30 status unpacked libsystemd-shared:amd64 255.4-1ubuntu8.16
2026-06-23 14:02:30 upgrade libsystemd0:amd64 255.4-1ubuntu8.15 255.4-1ubuntu8.16
2026-06-23 14:02:30 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.7
2026-06-23 14:02:30 status half-configured libsystemd0:amd64 255.4-1ubuntu8.15
2026-06-23 14:02:30 status unpacked libsystemd0:amd64 255.4-1ubuntu8.15
2026-06-23 14:02:30 status half-installed libsystemd0:amd64 255.4-1ubuntu8.15
2026-06-23 14:02:30 status unpacked libsystemd0:amd64 255.4-1ubuntu8.16
2026-06-23 14:02:31 startup packages configure
2026-06-23 14:02:31 configure libsystemd0:amd64 255.4-1ubuntu8.16 <none>
2026-06-23 14:02:31 status unpacked libsystemd0:amd64 255.4-1ubuntu8.16
