USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           2  0.0  0.0      0     0 ?        S    03:31   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    03:31   0:00  \_ [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   03:31   0:00  \_ [kworker/R-rcu_g]
root           5  0.0  0.0      0     0 ?        I<   03:31   0:00  \_ [kworker/R-rcu_p]
root           6  0.0  0.0      0     0 ?        I<   03:31   0:00  \_ [kworker/R-slub_]
root           7  0.0  0.0      0     0 ?        I<   03:31   0:00  \_ [kworker/R-netns]
root           9  0.0  0.0      0     0 ?        I<   03:31   0:00  \_ [kworker/0:0H-events_highpri]
root          12  0.0  0.0      0     0 ?        I<   03:31   0:00  \_ [kworker/R-mm_pe]
root          13  0.0  0.0      0     0 ?        I    03:31   0:00  \_ [rcu_tasks_kthread]
root          14  0.0  0.0      0     0 ?        I    03:31   0:00  \_ [rcu_tasks_rude_kthread]
root          15  0.0  0.0      0     0 ?        I    03:31   0:00  \_ [rcu_tasks_trace_kthread]
root          16  0.0  0.0      0     0 ?        S    03:31   0:00  \_ [ksoftirqd/0]
root          17  0.0  0.0      0     0 ?        I    03:31   0:05  \_ [rcu_preempt]
root          18  0.0  0.0      0     0 ?        S    03:31   0:00  \_ [migration/0]
root          19  0.0  0.0      0     0 ?        S    03:31   0:00  \_ [idle_inject/0]
root          20  0.0  0.0      0     0 ?        S    03:31   0:00  \_ [cpuhp/0]
root          21  0.0  0.0      0     0 ?        S    03:31   0:00  \_ [cpuhp/1]
root          22  0.0  0.0      0     0 ?        S    03:31   0:00  \_ [idle_inject/1]
root          23  0.0  0.0      0     0 ?        S    03:31   0:00  \_ [migration/1]
root          24  0.0  0.0      0     0 ?        S    03:31   0:00  \_ [ksoftirqd/1]
root          26  0.0  0.0      0     0 ?        I<   03:31   0:00  \_ [kworker/1:0H-events_highpri]
root          29  0.0  0.0      0     0 ?        S    03:31   0:00  \_ [kdevtmpfs]
root          30  0.0  0.0      0     0 ?        I<   03:31   0:00  \_ [kworker/R-inet_]
root          31  0.0  0.0      0     0 ?        S    03:31   0:00  \_ [kauditd]
root          32  0.0  0.0      0     0 ?        S    03:31   0:00  \_ [khungtaskd]
root          33  0.0  0.0      0     0 ?        S    03:31   0:00  \_ [oom_reaper]
root          35  0.0  0.0      0     0 ?        I<   03:31   0:00  \_ [kworker/R-write]
root          37  0.0  0.0      0     0 ?        S    03:31   0:00  \_ [kcompactd0]
root          38  0.0  0.0      0     0 ?        SN   03:31   0:00  \_ [ksmd]
root          40  0.0  0.0      0     0 ?        SN   03:31   0:00  \_ [khugepaged]
root          41  0.0  0.0      0     0 ?        I<   03:31   0:00  \_ [kworker/R-kinte]
root          42  0.0  0.0      0     0 ?        I<   03:31   0:00  \_ [kworker/R-kbloc]
root          43  0.0  0.0      0     0 ?        I<   03:31   0:00  \_ [kworker/R-blkcg]
root          44  0.0  0.0      0     0 ?        S    03:31   0:00  \_ [irq/9-acpi]
root          45  0.0  0.0      0     0 ?        I<   03:31   0:00  \_ [kworker/R-tpm_d]
root          46  0.0  0.0      0     0 ?        I<   03:31   0:00  \_ [kworker/R-ata_s]
root          47  0.0  0.0      0     0 ?        I<   03:31   0:00  \_ [kworker/R-md]
root          48  0.0  0.0      0     0 ?        I<   03:31   0:00  \_ [kworker/R-md_bi]
