root     pts/1        Sun Jun 28 08:57:01 2026   gone - no logout                      10.10.16.156
reboot   system boot  Sun Jun 28 03:31:46 2026   still running                         6.8.0-124-generic
reboot   system boot  Tue Jun 23 14:20:05 2026 - Tue Jun 23 14:21:37 2026  (00:01)     6.8.0-124-generic
reboot   system boot  Tue Jun 23 14:17:12 2026 - Tue Jun 23 14:17:58 2026  (00:00)     6.8.0-124-generic
reboot   system boot  Tue Jun 23 14:01:26 2026 - Tue Jun 23 14:12:16 2026  (00:10)     6.8.0-117-generic
haris    pts/1        Tue Jun 23 11:13:09 2026 - Tue Jun 23 11:13:11 2026  (00:00)     10.10.14.2
haris    pts/1        Tue Jun 23 11:11:35 2026 - Tue Jun 23 11:11:43 2026  (00:00)     10.10.14.2
haris    pts/0        Tue Jun 23 11:09:59 2026 - Tue Jun 23 11:16:04 2026  (00:06)     10.10.14.2
reboot   system boot  Tue Jun 23 10:44:49 2026 - Tue Jun 23 11:16:06 2026  (00:31)     6.8.0-117-generic
haris    pts/0        Tue May 26 10:46:36 2026 - Tue May 26 11:11:56 2026  (00:25)     10.10.14.6
reboot   system boot  Tue May 26 10:45:17 2026 - Tue May 26 11:11:59 2026  (00:26)     6.8.0-117-generic
haris    pts/0        Fri May 22 01:17:17 2026 - Fri May 22 01:27:57 2026  (00:10)     10.10.14.3
reboot   system boot  Fri May 22 01:11:27 2026 - Fri May 22 01:27:59 2026  (00:16)     6.8.0-117-generic
reboot   system boot  Fri May 22 00:59:21 2026 - Fri May 22 01:00:42 2026  (00:01)     6.8.0-117-generic

wtmp begins Fri May 22 00:59:21 2026
