TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,AppName,Applications_Application,Binary,Class,Data_text,Data_text_0,Data_text_1,Data_text_10,Data_text_11,Data_text_12,Data_text_13,Data_text_14,Data_text_15,Data_text_16,Data_text_17,Data_text_18,Data_text_19,Data_text_2,Data_text_20,Data_text_21,Data_text_22,Data_text_3,Data_text_4,Data_text_5,Data_text_6,Data_text_7,Data_text_8,Data_text_9,EventProvider,Library,Namespace,Query,RebootReasons,RmSessionId,UTCStartTime,User,Win32Error,attributes_xmlns,binaryData,binaryDataSize,nApplications,param1,param10,param11,param12,param2,param3,param4,param5,param6,param7,param8,param9
2025-08-13T19:50:09.131531Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 4625}",WIN-LC7SFT89DTG,Microsoft-Windows-EventSystem,Application,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86400,,,,SuppressDuplicateDuration,Software\Microsoft\EventSystem\EventLog,,,,,,
2025-08-13T19:50:09.147631Z,1531,WIN-LC7SFT89DTG,Microsoft-Windows-User Profiles Service,Application,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13T19:50:09.496442Z,5615,WIN-LC7SFT89DTG,Microsoft-Windows-WMI,Application,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13T19:50:15.712798Z,5617,WIN-LC7SFT89DTG,Microsoft-Windows-WMI,Application,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13T19:50:16.813611Z,1532,WIN-LC7SFT89DTG,Microsoft-Windows-User Profiles Service,Application,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13T19:50:32.849153Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 4625}",WIN-LC7SFT89DTG,Microsoft-Windows-EventSystem,Application,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86400,,,,SuppressDuplicateDuration,Software\Microsoft\EventSystem\EventLog,,,,,,
2025-08-13T19:50:32.896019Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1016}",WIN-LC7SFT89DTG,Microsoft-Windows-Security-SPP,Application,7,4,,,,,,7783a126-c108-4cf7-b59f-13c78c7a7337,db971a64-f523-beb8-94a1-906138c37845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13T19:50:32.943040Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1034}",WIN-LC7SFT89DTG,Microsoft-Windows-Security-SPP,Application,8,4,,,,,,Security-SPP-WriteWauMarker,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13T19:50:32.958546Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1003}",WIN-LC7SFT89DTG,Microsoft-Windows-Security-SPP,Application,9,4,,,,,,55c92734-d682-4d71-983e-d6ec3f16059f,"
1: 7783a126-c108-4cf7-b59f-13c78c7a7337, 1, 0 [(0 )(1 )(2 )(3 [0x00000000, 0, 1], [(?)( 1 0x00000000)( 6 0x00000000 10 14400)(?)(?)(?)( 10 0x00000000 msft:rm/algorithm/flags/1.0)(?)])]

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13T19:50:32.864357Z,1531,WIN-LC7SFT89DTG,Microsoft-Windows-User Profiles Service,Application,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13T19:50:33.192398Z,5615,WIN-LC7SFT89DTG,Microsoft-Windows-WMI,Application,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13T19:50:33.566507Z,5617,WIN-LC7SFT89DTG,Microsoft-Windows-WMI,Application,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13T10:50:39.057841Z,"{'#attributes': {'Qualifiers': 0}, '#text': 640}",WIN-LC7SFT89DTG,ESENT,Application,13,3,,,,,,Catalog Database,"1184,D,35",,,,,,,,,,,Catalog Database: ,,,,-1919,C:\Windows\system32\CatRoot2\{127D0A1D-4EF2-11D1-8608-00C04FC295EE}\catdb.jfm,[SignDbHdrFromDb:Create time:00/00/1900 00:00:00.000 Rand:0 Computer:] [SignFmHdrFromDb:Create time:00/00/1900 00:00:00.000 Rand:0 Computer:] [SignDbHdrFromFm:Create time:08/13/2025 10:50:37.565 Rand:3244127940 Computer:] [SignFmHdrFromFm:Create time:08/13/2025 10:50:37.806 Rand:2080821892 Computer:],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13T10:50:39.057841Z,"{'#attributes': {'Qualifiers': 0}, '#text': 636}",WIN-LC7SFT89DTG,ESENT,Application,14,3,,,,,,Catalog Database,"1184,D,35",,,,,,,,,,,Catalog Database: ,,,,C:\Windows\system32\CatRoot2\{127D0A1D-4EF2-11D1-8608-00C04FC295EE}\catdb.jfm,ReadHdrFailed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13T10:50:39.095498Z,"{'#attributes': {'Qualifiers': 0}, '#text': 640}",WIN-LC7SFT89DTG,ESENT,Application,15,3,,,,,,Catalog Database,"1184,D,35",,,,,,,,,,,Catalog Database: ,,,,-1919,C:\Windows\system32\CatRoot2\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\catdb.jfm,[SignDbHdrFromDb:Create time:00/00/1900 00:00:00.000 Rand:0 Computer:] [SignFmHdrFromDb:Create time:00/00/1900 00:00:00.000 Rand:0 Computer:] [SignDbHdrFromFm:Create time:08/13/2025 10:50:37.565 Rand:901488647 Computer:] [SignFmHdrFromFm:Create time:08/13/2025 10:50:39.026 Rand:1361731307 Computer:],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13T10:50:39.095498Z,"{'#attributes': {'Qualifiers': 0}, '#text': 636}",WIN-LC7SFT89DTG,ESENT,Application,16,3,,,,,,Catalog Database,"1184,D,35",,,,,,,,,,,Catalog Database: ,,,,C:\Windows\system32\CatRoot2\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\catdb.jfm,ReadHdrFailed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13T10:52:35.680916Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 4202}",WIN-LC7SFT89DTG,Microsoft-Windows-MSDTC 2,Application,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,1,Mutual Authentication Required,NT AUTHORITY\NetworkService
2025-08-13T10:54:02.418960Z,"{'#attributes': {'Qualifiers': 0}, '#text': 4112}",WIN-LC7SFT89DTG,Microsoft-Windows-CAPI2,Application,18,4,,,,,"‎Wednesday, ‎December ‎4, ‎2024 11:00:14 AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13T10:54:04.510312Z,"{'#attributes': {'Qualifiers': 0}, '#text': 4097}",WIN-LC7SFT89DTG,Microsoft-Windows-CAPI2,Application,19,4,,,,,,"CN=DigiCert Global Root CA, OU=www.digicert.com, O=DigiCert Inc, C=US",A8985D3A65E5E5C4B2D7D66D40C6DD2FB19C5436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13T10:54:07.401066Z,"{'#attributes': {'Qualifiers': 0}, '#text': 4097}",WIN-LC7SFT89DTG,Microsoft-Windows-CAPI2,Application,20,4,,,,,,"CN=DigiCert Global Root G2, OU=www.digicert.com, O=DigiCert Inc, C=US",DF3C24F9BFD666761B268073FE06D1CC8D4F82A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13T10:54:07.619817Z,"{'#attributes': {'Qualifiers': 0}, '#text': 4097}",WIN-LC7SFT89DTG,Microsoft-Windows-CAPI2,Application,21,4,,,,,,"CN=DigiCert Global Root G3, OU=www.digicert.com, O=DigiCert Inc, C=US",7E04DE896A3E666D00E687D33FFAD93BE83D349E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13T10:54:08.869963Z,"{'#attributes': {'Qualifiers': 32768}, '#text': 6003}",WIN-LC7SFT89DTG,Microsoft-Windows-Winlogon,Application,22,4,,,D9060000,,SessionEnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13T10:54:09.370087Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 5}",WIN-LC7SFT89DTG,Microsoft-Windows-Search-ProfileNotify,Application,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN-LC7SFT89DTG\Administrator,,,,,,,,,,,,,,,,,
2025-08-13T10:54:09.635710Z,"{'#attributes': {'Qualifiers': 32768}, '#text': 6000}",WIN-LC7SFT89DTG,Microsoft-Windows-Winlogon,Application,24,4,,,D9060000,,SessionEnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
