TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,Binary,Data_text,Data_text_0,Data_text_1,Data_text_2,Data_text_3,Data_text_4,Data_text_5,Data_text_6,Data_text_7
2025-08-13T11:01:11.771085Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1002}",DC01,DFSR,DFS Replication,1,4,,,,,,,,,,
2025-08-13T11:01:11.786653Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1004}",DC01,DFSR,DFS Replication,2,4,,,,,,,,,,
2025-08-13T11:01:11.864787Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1314}",DC01,DFSR,DFS Replication,3,4,,C:\Windows\debug,,,,,,,,
2025-08-13T11:01:13.411662Z,"{'#attributes': {'Qualifiers': 49152}, '#text': 6104}",DC01,DFSR,DFS Replication,4,2,,,2147749902,100e,,,,,,
2025-08-13T11:01:14.417496Z,"{'#attributes': {'Qualifiers': 49152}, '#text': 1202}",DC01,DFSR,DFS Replication,5,2,,,,60,1355,The specified domain either does not exist or could not be contacted.,,,,
2025-08-13T11:01:17.146034Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1006}",DC01,DFSR,DFS Replication,6,4,,,,,,,,,,
2025-08-13T11:01:30.189936Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1002}",DC01,DFSR,DFS Replication,7,4,,,,,,,,,,
2025-08-13T11:01:30.206018Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1004}",DC01,DFSR,DFS Replication,8,4,,,,,,,,,,
2025-08-13T11:01:30.252445Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1314}",DC01,DFSR,DFS Replication,9,4,,C:\Windows\debug,,,,,,,,
2025-08-13T11:01:32.185759Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 6102}",DC01,DFSR,DFS Replication,10,4,,,,,,,,,,
2025-08-13T11:01:33.192575Z,"{'#attributes': {'Qualifiers': 49152}, '#text': 1202}",DC01,DFSR,DFS Replication,11,2,,,,60,1355,The specified domain either does not exist or could not be contacted.,,,,
2025-08-13T11:04:48.835530Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1006}",DC01,DFSR,DFS Replication,12,4,,,,,,,,,,
2025-08-13T11:04:49.400896Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1008}",DC01,DFSR,DFS Replication,13,4,,,,,,,,,,
2025-08-13T11:05:51.728835Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1002}",DC01.garfield.htb,DFSR,DFS Replication,14,4,,,,,,,,,,
2025-08-13T11:05:51.775689Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1004}",DC01.garfield.htb,DFSR,DFS Replication,15,4,,,,,,,,,,
2025-08-13T11:05:51.822565Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1314}",DC01.garfield.htb,DFSR,DFS Replication,16,4,,C:\Windows\debug,,,,,,,,
2025-08-13T11:05:53.510145Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 6102}",DC01.garfield.htb,DFSR,DFS Replication,17,4,,,,,,,,,,
2025-08-13T11:06:04.088216Z,"{'#attributes': {'Qualifiers': 49152}, '#text': 1202}",DC01.garfield.htb,DFSR,DFS Replication,18,2,,,,60,160,One or more arguments are not correct.,,,,
2025-08-13T11:11:04.903513Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1206}",DC01.garfield.htb,DFSR,DFS Replication,19,4,,DC01.garfield.htb,,,,,,,,
2025-08-13T11:11:04.918816Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 8000}",DC01.garfield.htb,DFSR,DFS Replication,20,4,,DC01,,,,,,,,
2025-08-13T11:11:04.934364Z,"{'#attributes': {'Qualifiers': 32768}, '#text': 6016}",DC01.garfield.htb,DFSR,DFS Replication,21,3,,,msDFSR-LocalSettings,"CN=DFSR-LocalSettings,CN=DC01,OU=Domain Controllers,DC=garfield,DC=htb",1355,The specified domain either does not exist or could not be contacted.,,60,,
2025-08-13T11:11:04.950281Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1210}",DC01.garfield.htb,DFSR,DFS Replication,22,4,,0,,,,,,,,
2025-08-13T11:11:05.045409Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 4602}",DC01.garfield.htb,DFSR,DFS Replication,23,4,,,678A20B2-7178-4C63-A95D-7325F8648808,C:\Windows\SYSVOL\domain,SYSVOL Share,Domain System Volume,18A33DBF-744D-4345-9E99-7AF091B31969,9B243157-12B7-4220-90B0-6D41B5F79E8E,,0
2025-08-13T11:16:05.144605Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 6018}",DC01.garfield.htb,DFSR,DFS Replication,24,4,,,DC01.garfield.htb,60,,,,,,
2025-08-16T23:24:41.761423Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1006}",DC01.garfield.htb,DFSR,DFS Replication,25,4,,,,,,,,,,
2025-08-16T23:24:42.042632Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1008}",DC01.garfield.htb,DFSR,DFS Replication,26,4,,,,,,,,,,
2025-08-16T23:24:42.793123Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1002}",DC01.garfield.htb,DFSR,DFS Replication,27,4,,,,,,,,,,
