TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,Binary,Name,VirtualizationID,attributes_Name,param1,param2,param3,param4
2025-08-13T11:04:36.167435Z,7693,DC01,Microsoft-Windows-DNS-Server-Service,DNS Server,1,4,,,,DNS_EVENT_SCOPE_EDNS_OPCODE_SET,65433,,,
2025-08-13T11:04:36.171744Z,414,DC01,Microsoft-Windows-DNS-Server-Service,DNS Server,2,3,,,,DNS_EVENT_SINGLE_LABEL_HOSTNAME,,,,
2025-08-13T11:04:36.255178Z,708,DC01,Microsoft-Windows-DNS-Server-Service,DNS Server,3,4,,,,DNS_EVENT_CACHING_SERVER_ONLY,,,,
2025-08-13T11:04:36.418779Z,2,DC01,Microsoft-Windows-DNS-Server-Service,DNS Server,4,4,,DNS_EVENT_STARTUP_OK,,,,,,
2025-08-13T11:04:55.070804Z,2631,DC01,Microsoft-Windows-DNS-Server-Service,DNS Server,5,4,,,,DNS_EVENT_AUTOCONFIG_SUCCEEDED,DNS server root hints,DNS server forwarders,DNS resolver,
2025-08-13T11:04:55.071586Z,3150,DC01,Microsoft-Windows-DNS-Server-Service,DNS Server,6,4,,,,DNS_EVENT_ZONE_WRITE_COMPLETED,1,garfield.htb,garfield.htb.dns,
2025-08-13T11:04:55.079332Z,3150,DC01,Microsoft-Windows-DNS-Server-Service,DNS Server,7,4,,,,DNS_EVENT_ZONE_WRITE_COMPLETED,1,_msdcs.garfield.htb,_msdcs.garfield.htb.dns,
2025-08-13T11:05:11.240694Z,3150,DC01.garfield.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,8,4,,,,DNS_EVENT_ZONE_WRITE_COMPLETED,2,garfield.htb,garfield.htb.dns,
2025-08-13T11:05:11.243443Z,3,DC01.garfield.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,9,4,,DNS_EVENT_SHUTDOWN,,,,,,
2025-08-13T11:05:51.792201Z,7693,DC01.garfield.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,10,4,,,,DNS_EVENT_SCOPE_EDNS_OPCODE_SET,65433,,,
2025-08-13T11:05:57.020423Z,4013,DC01.garfield.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,11,3,,DNS_EVENT_DS_OPEN_WAIT,,,,,,
2025-08-13T11:06:06.195908Z,769,DC01.garfield.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,12,4,,,.,DNS_EVENT_ZONE_LOAD_OK,_msdcs.garfield.htb,_msdcs.garfield.htb.dns,DC01.garfield.htb,
2025-08-13T11:06:06.196194Z,769,DC01.garfield.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,13,4,,,.,DNS_EVENT_ZONE_LOAD_OK,garfield.htb,garfield.htb.dns,DC01.garfield.htb,
