TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,Binary,Data_text,Data_text_0,Data_text_1,Data_text_2,Data_text_3,Data_text_4,Data_text_5,Data_text_6,Data_text_7,Data_text_8,Data_text_9
2025-08-13T11:04:44.041476Z,"{'#attributes': {'Qualifiers': 0}, '#text': 102}",DC01,NTDS ISAM,Directory Service,1,4,,,NTDS,"756,P,98",NTDSA: ,0,10,00,17763,0000,,
2025-08-13T11:04:44.072559Z,"{'#attributes': {'Qualifiers': 0}, '#text': 105}",DC01,NTDS ISAM,Directory Service,2,4,,,NTDS,"756,D,0",NTDSA: ,0,0,"
[1] 0.000275 +J(0) +M(C:0K, Fs:61, WS:224K # 0K, PF:2376K # 0K, P:2376K)
[2] 0.000086 +J(0) +M(C:16K, Fs:69, WS:272K # 0K, PF:868K # 0K, P:868K)
[3] 0.000009 +J(0) +M(C:0K, Fs:4, WS:16K # 0K, PF:64K # 0K, P:64K)
[4] 0.001825 -0.000081 (1) WT +J(0) +M(C:0K, Fs:130, WS:444K # 0K, PF:5080K # 0K, P:5080K)
[5] 0.000138 +J(0)
[6] 0.000389 +J(0) +M(C:0K, Fs:1, WS:4K # 0K, PF:12K # 0K, P:12K)
[7] -
[8] -
[9] -
[10] -
[11] -
[12] -
[13] 0.026117 -0.007865 (48) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:616/1) +M(C:0K, Fs:2665, WS:400K # 5712K, PF:12K # 10108K, P:12K)
[14] 0.000012 +J(0)
[15] 0.000289 +J(0) +M(C:0K, Fs:206, WS:820K # 0K, PF:68K # 0K, P:68K)
[16] 0.004295 -0.000252 (2) WT +J(0) +M(C:0K, Fs:2, WS:0K # 0K, PF:0K # 0K, P:0K).",,,,
2025-08-13T11:04:44.074745Z,"{'#attributes': {'Qualifiers': 0}, '#text': 637}",DC01,NTDS ISAM,Directory Service,3,4,,,NTDS,"756,D,50",NTDSA: ,C:\Windows\NTDS\ntds.jfm,,,,,,
2025-08-13T11:04:44.081493Z,"{'#attributes': {'Qualifiers': 0}, '#text': 326}",DC01,NTDS ISAM,Directory Service,4,4,,,NTDS,"756,D,50",NTDSA: ,1,C:\Windows\NTDS\ntds.dit,0,"
[1] 0.000001 +J(0)
[2] 0.000370 -0.000103 (1) WT +J(0) +M(C:0K, Fs:18, WS:8K # 0K, PF:8K # 0K, P:8K)
[3] 0.004268 -0.000825 (3) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:3480/2) +M(C:0K, Fs:13, WS:44K # 0K, PF:20K # 0K, P:20K)
[4] 0.000129 +J(0)
[5] -
[6] -
[7] -
[8] 0.000546 -0.000318 (2) CM -0.000214 (2) WT +J(CM:2, PgRf:2, Rd:4/2, Dy:0/0, Lg:0/0) +M(C:16K, Fs:15, WS:52K # 0K, PF:292K # 0K, P:292K)
[9] 0.001419 -0.001083 (6) CM -0.000739 (6) WT +J(CM:6, PgRf:24, Rd:0/5, Dy:0/0, Lg:0/0) +M(C:-8K, Fs:17, WS:28K # 0K, PF:204K # 0K, P:204K)
[10] 0.000798 -0.000669 (4) CM -0.000404 (4) WT +J(CM:4, PgRf:40, Rd:0/4, Dy:0/0, Lg:0/0) +M(C:0K, Fs:4, WS:4K # 0K, PF:64K # 0K, P:64K)
[11] 0.000162 -0.000143 (1) CM -0.000082 (1) WT +J(CM:1, PgRf:1, Rd:0/1, Dy:0/0, Lg:0/0) +M(C:0K, Fs:1, WS:0K # 0K, PF:0K # 0K, P:0K)
[12] 0.000022 +J(CM:0, PgRf:42, Rd:0/0, Dy:0/0, Lg:0/0)
[13] 0.0 +J(0)
[14] 0.0 +J(0)
[15] 0.000447 -0.000160 (2) WT +J(CM:0, PgRf:1, Rd:0/0, Dy:0/0, Lg:0/0) +M(C:0K, Fs:2, WS:0K # 0K, PF:0K # 0K, P:0K).",0 0,lgposAttach = 00000001:0001:0268,
2025-08-13T11:04:44.690193Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2013}",DC01,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,5,4,,,1,LCL_ABVIEW_index00000409 +ATTb590468 ,,,,,,,,
2025-08-13T11:04:44.796160Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2014}",DC01,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,6,4,,1,,,,,,,,,,
2025-08-13T11:04:45.087608Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2120}",DC01,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,7,4,,,,,,,,,,,,
2025-08-13T11:04:45.087608Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2405}",DC01,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,8,4,,Recycle Bin Feature,,,,,,,,,,
2025-08-13T11:04:45.087608Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2405}",DC01,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,9,4,,Privileged Access Management Feature,,,,,,,,,,
2025-08-13T11:04:48.482967Z,"{'#attributes': {'Qualifiers': 0}, '#text': 700}",DC01,NTDS ISAM,Directory Service,10,4,,,NTDS,"756,D,0",NTDSA: ,C:\Windows\NTDS\ntds.dit,,,,,,
