#TYPE Selected.System.Diagnostics.Process
"Id","ProcessName","Path","StartTime","User"
"436","csrss",,"4/6/2026 5:23:05 PM",
"548","csrss",,"4/6/2026 5:23:05 PM",
"5444","ctfmon","C:\Windows\system32\ctfmon.exe","4/6/2026 5:24:00 PM",
"1500","dfsrs","C:\Windows\system32\DFSRs.exe","4/6/2026 5:23:36 PM",
"3180","dfssvc","C:\Windows\system32\dfssvc.exe","4/6/2026 5:23:36 PM",
"3872","dllhost","C:\Windows\system32\dllhost.exe","4/6/2026 5:23:37 PM",
"1376","dns","C:\Windows\system32\dns.exe","4/6/2026 5:23:36 PM",
"1148","dwm","C:\Windows\system32\dwm.exe","4/6/2026 5:23:08 PM",
"5708","explorer","C:\Windows\Explorer.EXE","4/6/2026 5:24:01 PM",
"3028","fontdrvhost","C:\Windows\system32\fontdrvhost.exe","4/6/2026 5:23:36 PM",
"3036","fontdrvhost","C:\Windows\system32\fontdrvhost.exe","4/6/2026 5:23:36 PM",
"0","Idle",,,
"2824","ismserv","C:\Windows\System32\ismserv.exe","4/6/2026 5:23:36 PM",
"692","LsaIso",,"4/6/2026 5:23:05 PM",
"712","lsass","C:\Windows\system32\lsass.exe","4/6/2026 5:23:05 PM",
"2636","Microsoft.ActiveDirectory.WebServices","C:\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe","4/6/2026 5:23:36 PM",
"3008","msdtc","C:\Windows\System32\msdtc.exe","4/6/2026 5:23:37 PM",
"92","Registry",,"4/6/2026 5:22:58 PM",
"836","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","4/6/2026 5:24:09 PM",
"4680","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","4/6/2026 5:24:04 PM",
"5244","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","4/6/2026 5:24:05 PM",
"6120","SearchUI","C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe","4/6/2026 5:24:04 PM",
"48","Secure System",,"4/6/2026 5:22:58 PM",
"5696","ServerManager","C:\Windows\system32\ServerManager.exe","4/6/2026 5:24:05 PM",
"684","services",,"4/6/2026 5:23:05 PM",
