TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,Binary,Data_text,Data_text_0,Data_text_1,Data_text_2,Data_text_3,Data_text_4,Data_text_5,Data_text_6,Data_text_7
2025-06-08T14:35:52.955288Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1002}",DC01,DFSR,DFS Replication,1,4,,,,,,,,,,
2025-06-08T14:35:52.956316Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1004}",DC01,DFSR,DFS Replication,2,4,,,,,,,,,,
2025-06-08T14:35:52.974631Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1314}",DC01,DFSR,DFS Replication,3,4,,C:\Windows\debug,,,,,,,,
2025-06-08T14:35:54.092001Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 6102}",DC01,DFSR,DFS Replication,4,4,,,,,,,,,,
2025-06-08T14:35:55.097566Z,"{'#attributes': {'Qualifiers': 49152}, '#text': 1202}",DC01,DFSR,DFS Replication,5,2,,,,60,1355,The specified domain either does not exist or could not be contacted.,,,,
2025-06-08T14:39:53.606307Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1006}",DC01,DFSR,DFS Replication,6,4,,,,,,,,,,
2025-06-08T14:39:54.511951Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1008}",DC01,DFSR,DFS Replication,7,4,,,,,,,,,,
2025-06-08T14:40:55.021027Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1002}",DC01.pirate.htb,DFSR,DFS Replication,8,4,,,,,,,,,,
2025-06-08T14:40:55.083569Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1004}",DC01.pirate.htb,DFSR,DFS Replication,9,4,,,,,,,,,,
2025-06-08T14:40:55.162540Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1314}",DC01.pirate.htb,DFSR,DFS Replication,10,4,,C:\Windows\debug,,,,,,,,
2025-06-08T14:40:57.661890Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 6102}",DC01.pirate.htb,DFSR,DFS Replication,11,4,,,,,,,,,,
