TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,Binary,Name,VirtualizationID,attributes_Name,param1,param2,param3,param4
2025-06-08T14:39:41.883665Z,7693,DC01,Microsoft-Windows-DNS-Server-Service,DNS Server,1,4,,,,DNS_EVENT_SCOPE_EDNS_OPCODE_SET,65433,,,
2025-06-08T14:39:41.886721Z,414,DC01,Microsoft-Windows-DNS-Server-Service,DNS Server,2,3,,,,DNS_EVENT_SINGLE_LABEL_HOSTNAME,,,,
2025-06-08T14:39:41.960718Z,708,DC01,Microsoft-Windows-DNS-Server-Service,DNS Server,3,4,,,,DNS_EVENT_CACHING_SERVER_ONLY,,,,
2025-06-08T14:39:42.012123Z,2,DC01,Microsoft-Windows-DNS-Server-Service,DNS Server,4,4,,DNS_EVENT_STARTUP_OK,,,,,,
2025-06-08T14:39:59.753117Z,2631,DC01,Microsoft-Windows-DNS-Server-Service,DNS Server,5,4,,,,DNS_EVENT_AUTOCONFIG_SUCCEEDED,DNS server root hints,DNS server forwarders,DNS resolver,
2025-06-08T14:39:59.753765Z,3150,DC01,Microsoft-Windows-DNS-Server-Service,DNS Server,6,4,,,,DNS_EVENT_ZONE_WRITE_COMPLETED,1,pirate.htb,pirate.htb.dns,
2025-06-08T14:39:59.756957Z,3150,DC01,Microsoft-Windows-DNS-Server-Service,DNS Server,7,4,,,,DNS_EVENT_ZONE_WRITE_COMPLETED,1,_msdcs.pirate.htb,_msdcs.pirate.htb.dns,
2025-06-08T14:40:15.614816Z,3150,DC01.pirate.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,8,4,,,,DNS_EVENT_ZONE_WRITE_COMPLETED,2,pirate.htb,pirate.htb.dns,
2025-06-08T14:40:15.617199Z,3,DC01.pirate.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,9,4,,DNS_EVENT_SHUTDOWN,,,,,,
2025-06-08T14:40:55.081629Z,7693,DC01.pirate.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,10,4,,,,DNS_EVENT_SCOPE_EDNS_OPCODE_SET,65433,,,
2025-06-08T14:41:00.813823Z,4013,DC01.pirate.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,11,3,,DNS_EVENT_DS_OPEN_WAIT,,,,,,
2025-06-08T14:41:09.348743Z,769,DC01.pirate.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,12,4,,,.,DNS_EVENT_ZONE_LOAD_OK,_msdcs.pirate.htb,_msdcs.pirate.htb.dns,DC01.pirate.htb,
2025-06-08T14:41:09.348896Z,769,DC01.pirate.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,13,4,,,.,DNS_EVENT_ZONE_LOAD_OK,pirate.htb,pirate.htb.dns,DC01.pirate.htb,
2025-06-08T14:41:09.348899Z,4,DC01.pirate.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,14,4,,DNS_EVENT_ZONE_LOAD_COMPLETE,,,,,,
2025-06-08T14:41:09.413575Z,2,DC01.pirate.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,15,4,,DNS_EVENT_STARTUP_OK,,,,,,
2025-06-08T14:42:10.443114Z,7648,DC01.pirate.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,16,4,,,,DNS_EVENT_DNSSEC_KEYMASTER_CHANGE_DETECTED,pirate.htb,DC01.pirate.htb,,
2025-06-08T14:49:17.530362Z,4500,DC01.pirate.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,17,4,,,,DNS_EVENT_DP_CREATED,DomainDnsZones.pirate.htb,"DC=DomainDnsZones,DC=pirate,DC=htb",,
2025-06-08T14:49:17.539772Z,4500,DC01.pirate.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,18,4,,,,DNS_EVENT_DP_CREATED,ForestDnsZones.pirate.htb,"DC=ForestDnsZones,DC=pirate,DC=htb",,
2025-06-08T16:24:15.933788Z,3,DC01.pirate.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,19,4,,DNS_EVENT_SHUTDOWN,,,,,,
2025-06-08T16:24:57.936627Z,7693,DC01.pirate.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,20,4,,,,DNS_EVENT_SCOPE_EDNS_OPCODE_SET,65433,,,
2025-06-08T16:25:03.102936Z,4013,DC01.pirate.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,21,3,,DNS_EVENT_DS_OPEN_WAIT,,,,,,
2025-06-08T16:25:12.592939Z,769,DC01.pirate.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,22,4,,,.,DNS_EVENT_ZONE_LOAD_OK,_msdcs.pirate.htb,NULL,DC01.pirate.htb,
2025-06-08T16:25:12.594881Z,769,DC01.pirate.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,23,4,,,.,DNS_EVENT_ZONE_LOAD_OK,pirate.htb,NULL,DC01.pirate.htb,
2025-06-08T16:25:12.596509Z,7648,DC01.pirate.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,24,4,,,,DNS_EVENT_DNSSEC_KEYMASTER_CHANGE_DETECTED,pirate.htb,DC01.pirate.htb,,
2025-06-08T16:25:12.643925Z,2,DC01.pirate.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,25,4,,DNS_EVENT_STARTUP_OK,,,,,,
2025-06-08T16:25:13.109828Z,4,DC01.pirate.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,26,4,,DNS_EVENT_ZONE_LOAD_COMPLETE,,,,,,
2025-06-08T17:02:25.615726Z,4015,DC01.pirate.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,27,2,01000000,,,DNS_EVENT_DS_INTERFACE_ERROR,"000020EF: SvcErr: DSID-0208067C, problem 5012 (DIR_ERROR), data -106",,,
2025-06-08T20:01:22.442106Z,3,DC01.pirate.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,28,4,,DNS_EVENT_SHUTDOWN,,,,,,
2025-06-08T20:02:41.645681Z,7693,DC01.pirate.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,29,4,,,,DNS_EVENT_SCOPE_EDNS_OPCODE_SET,65433,,,
2025-06-08T20:02:46.776571Z,4013,DC01.pirate.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,30,3,,DNS_EVENT_DS_OPEN_WAIT,,,,,,
2025-06-08T20:02:55.437235Z,769,DC01.pirate.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,31,4,,,.,DNS_EVENT_ZONE_LOAD_OK,_msdcs.pirate.htb,NULL,DC01.pirate.htb,
