TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,Binary,Data_text,Data_text_0,Data_text_1,Data_text_2,Data_text_3,Data_text_4,Data_text_5,Data_text_6,Data_text_7,Data_text_8,Data_text_9
2025-06-08T14:39:49.640846Z,"{'#attributes': {'Qualifiers': 0}, '#text': 102}",DC01,NTDS ISAM,Directory Service,1,4,,,NTDS,"640,P,98",NTDSA: ,0,10,00,17763,0000,,
2025-06-08T14:39:49.672049Z,"{'#attributes': {'Qualifiers': 0}, '#text': 105}",DC01,NTDS ISAM,Directory Service,2,4,,,NTDS,"640,D,0",NTDSA: ,0,0,"
[1] 0.000232 +J(0) +M(C:0K, Fs:59, WS:220K # 0K, PF:2304K # 0K, P:2304K)
[2] 0.000091 +J(0) +M(C:16K, Fs:82, WS:320K # 0K, PF:868K # 0K, P:868K)
[3] 0.000014 +J(0) +M(C:0K, Fs:10, WS:40K # 0K, PF:64K # 0K, P:64K)
[4] 0.001493 -0.000070 (1) WT +J(0) +M(C:0K, Fs:77, WS:236K # 0K, PF:5068K # 0K, P:5068K)
[5] 0.000135 +J(0)
[6] 0.000369 +J(0) +M(C:0K, Fs:2, WS:4K # 0K, PF:12K # 0K, P:12K)
[7] -
[8] -
[9] -
[10] -
[11] -
[12] -
[13] 0.024398 -0.005983 (44) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:616/1) +M(C:0K, Fs:2664, WS:400K # 5652K, PF:8K # 10088K, P:8K)
[14] 0.000022 +J(0)
[15] 0.000105 +J(0) +M(C:0K, Fs:206, WS:820K # 0K, PF:68K # 0K, P:68K)
[16] 0.005868 -0.000062 (1) WT +J(0) +M(C:0K, Fs:2, WS:0K # 0K, PF:0K # 0K, P:0K).",,,,
2025-06-08T14:39:49.673799Z,"{'#attributes': {'Qualifiers': 0}, '#text': 637}",DC01,NTDS ISAM,Directory Service,3,4,,,NTDS,"640,D,50",NTDSA: ,C:\Windows\NTDS\ntds.jfm,,,,,,
2025-06-08T14:39:49.679778Z,"{'#attributes': {'Qualifiers': 0}, '#text': 326}",DC01,NTDS ISAM,Directory Service,4,4,,,NTDS,"640,D,50",NTDSA: ,1,C:\Windows\NTDS\ntds.dit,0,"
[1] 0.000001 +J(0)
[2] 0.000289 +J(0) +M(C:0K, Fs:18, WS:8K # 0K, PF:8K # 0K, P:8K)
[3] 0.005546 -0.000615 (3) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:3480/2) +M(C:0K, Fs:15, WS:52K # 0K, PF:20K # 0K, P:20K)
[4] 0.000137 +J(0)
[5] -
[6] -
[7] -
[8] 0.000362 -0.000212 (2) CM -0.000119 (2) WT +J(CM:2, PgRf:2, Rd:4/2, Dy:0/0, Lg:0/0) +M(C:32K, Fs:15, WS:52K # 0K, PF:308K # 0K, P:308K)
[9] 0.000794 -0.000631 (6) CM -0.000415 (6) WT +J(CM:6, PgRf:24, Rd:0/5, Dy:0/0, Lg:0/0) +M(C:-24K, Fs:16, WS:28K # 0K, PF:188K # 0K, P:188K)
[10] 0.000357 -0.000281 (3) CM -0.000147 (3) WT +J(CM:3, PgRf:40, Rd:0/3, Dy:0/0, Lg:0/0) +M(C:-4K, Fs:3, WS:0K # 0K, PF:60K # 0K, P:60K)
[11] 0.000004 +J(CM:0, PgRf:1, Rd:0/0, Dy:0/0, Lg:0/0)
[12] 0.000016 +J(CM:0, PgRf:42, Rd:0/0, Dy:0/0, Lg:0/0)
[13] 0.0 +J(0)
[14] 0.0 +J(0)
[15] 0.000269 -0.000088 (2) WT +J(CM:0, PgRf:1, Rd:0/0, Dy:0/0, Lg:0/0) +M(C:0K, Fs:2, WS:0K # 0K, PF:0K # 0K, P:0K).",0 0,lgposAttach = 00000001:0001:0268,
2025-06-08T14:39:50.071715Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2013}",DC01,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,5,4,,,1,LCL_ABVIEW_index00000409 +ATTb590468 ,,,,,,,,
2025-06-08T14:39:50.099733Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2014}",DC01,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,6,4,,1,,,,,,,,,,
2025-06-08T14:39:50.145729Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2120}",DC01,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,7,4,,,,,,,,,,,,
2025-06-08T14:39:50.145729Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2405}",DC01,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,8,4,,Recycle Bin Feature,,,,,,,,,,
2025-06-08T14:39:50.145729Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2405}",DC01,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,9,4,,Privileged Access Management Feature,,,,,,,,,,
2025-06-08T14:39:53.267359Z,"{'#attributes': {'Qualifiers': 0}, '#text': 700}",DC01,NTDS ISAM,Directory Service,10,4,,,NTDS,"640,D,0",NTDSA: ,C:\Windows\NTDS\ntds.dit,,,,,,
