"datetime","EventID","LogonType","SourceIP","ServiceName","ModifiedSPN","message"
"9/6/2025, 4:39:26.143119 pm","1102","","","","","[1102 / 0x044e] Provider identifier: {fc65ddd8-d6ef-4962-83d5-6e5cfe9ce148} Source Name: Microsoft-Windows-Eventlog Strings: ['S-1-5-21-4107424128-4158083573-1300325248-500'  'Administrator'  'PIRATE'  '0x0000000000041db1'  '3912'  '3096224743817426'] Computer Name: DC01.pirate.htb Record Number: 1 Event Level: 4 Message string: The audit log was cleared.\nSubject:\n\tSecurity ID:\tS-1-5-21-4107424128-4158083573-1300325248-500\n\tAccount Name:\tAdministrator\n\tDomain Name:\tPIRATE\n\tLogon ID:\t0x0000000000041db1"
"9/6/2025, 4:39:32.996086 pm","1102","","","","","[1102 / 0x044e] Provider identifier: {fc65ddd8-d6ef-4962-83d5-6e5cfe9ce148} Source Name: Microsoft-Windows-Eventlog Strings: ['S-1-5-21-4107424128-4158083573-1300325248-500'  'Administrator'  'PIRATE'  '0x0000000000041db1'  '3912'  '3096224743817426'] Computer Name: DC01.pirate.htb Record Number: 1 Event Level: 4 Message string: The audit log was cleared.\nSubject:\n\tSecurity ID:\tS-1-5-21-4107424128-4158083573-1300325248-500\n\tAccount Name:\tAdministrator\n\tDomain Name:\tPIRATE\n\tLogon ID:\t0x0000000000041db1"
"11/6/2025, 1:40:36.121759 pm","5136","","","","HTTP/WEB01.pirate.htb","[5136 / 0x1410] Provider identifier: {54849625-5478-4994-a5ba-3e3b0328c30d} Source Name: Microsoft-Windows-Security-Auditing Strings: ['{DC793FB8-D707-4C70-8545-D9F2F103EEE9}'  '-'  'S-1-5-21-4107424128-4158083573-1300325248-500'  'Administrator'  'PIRATE'  '0x00000000000464ec'  'pirate.htb'  '%%14676'  'CN=WEB01 CN=Computers DC=pirate DC=htb'  '{983C1937-6799-4BB4-956D-45B26FAD610B}'  'computer'  'servicePrincipalName'  '2.5.5.12'  'HTTP/WEB01.pirate.htb'  '%%14674'] Computer Name: DC01.pirate.htb Record Number: 158 Event Level: 0 Message string: A directory service object was modified.\n\t\nSubject:\n\tSecurity ID:\t\tS-1-5-21-4107424128-4158083573-1300325248-500\n\tAccount Name:\t\tAdministrator\n\tAccount Domain:\t\tPIRATE\n\tLogon ID:\t\t0x00000000000464ec\n\nDirectory Service:\n\tName:\tpirate.htb\n\tType:\t%%14676\n\t\nObject:\n\tDN:\tCN=WEB01 CN=Computers DC=pirate DC=htb\n\tGUID:\t{983C1937-6799-4BB4-956D-45B26FAD610B}\n\tClass:\tcomputer\n\t\nAttribute:\n\tLDAP Display Name:\tservicePrincipalName\n\tSyntax (OID):\t2.5.5.12\n\tValue:\tHTTP/WEB01.pirate.htb\n\t\nOperation:\n\tType:\t%%14674\n\tCorrelation ID:\t{DC793FB8-D707-4C70-8545-D9F2F103EEE9}\n\tApplication Correlation ID:\t-"
"11/6/2025, 1:40:36.124039 pm","5136","","","","HTTP/WEB01","[5136 / 0x1410] Provider identifier: {54849625-5478-4994-a5ba-3e3b0328c30d} Source Name: Microsoft-Windows-Security-Auditing Strings: ['{3FC26064-0F38-4B06-8184-92AF391B1AD7}'  '-'  'S-1-5-21-4107424128-4158083573-1300325248-500'  'Administrator'  'PIRATE'  '0x00000000000464ec'  'pirate.htb'  '%%14676'  'CN=WEB01 CN=Computers DC=pirate DC=htb'  '{983C1937-6799-4BB4-956D-45B26FAD610B}'  'computer'  'servicePrincipalName'  '2.5.5.12'  'HTTP/WEB01'  '%%14674'] Computer Name: DC01.pirate.htb Record Number: 159 Event Level: 0 Message string: A directory service object was modified.\n\t\nSubject:\n\tSecurity ID:\t\tS-1-5-21-4107424128-4158083573-1300325248-500\n\tAccount Name:\t\tAdministrator\n\tAccount Domain:\t\tPIRATE\n\tLogon ID:\t\t0x00000000000464ec\n\nDirectory Service:\n\tName:\tpirate.htb\n\tType:\t%%14676\n\t\nObject:\n\tDN:\tCN=WEB01 CN=Computers DC=pirate DC=htb\n\tGUID:\t{983C1937-6799-4BB4-956D-45B26FAD610B}\n\tClass:\tcomputer\n\t\nAttribute:\n\tLDAP Display Name:\tservicePrincipalName\n\tSyntax (OID):\t2.5.5.12\n\tValue:\tHTTP/WEB01\n\t\nOperation:\n\tType:\t%%14674\n\tCorrelation ID:\t{3FC26064-0F38-4B06-8184-92AF391B1AD7}\n\tApplication Correlation ID:\t-"
"11/6/2025, 1:40:36.124039 pm","5136","","","","HTTP/WEB01.pirate.htb","[5136 / 0x1410] Provider identifier: {54849625-5478-4994-a5ba-3e3b0328c30d} Source Name: Microsoft-Windows-Security-Auditing Strings: ['{DC793FB8-D707-4C70-8545-D9F2F103EEE9}'  '-'  'S-1-5-21-4107424128-4158083573-1300325248-500'  'Administrator'  'PIRATE'  '0x00000000000464ec'  'pirate.htb'  '%%14676'  'CN=WEB01 CN=Computers DC=pirate DC=htb'  '{983C1937-6799-4BB4-956D-45B26FAD610B}'  'computer'  'servicePrincipalName'  '2.5.5.12'  'HTTP/WEB01.pirate.htb'  '%%14674'] Computer Name: DC01.pirate.htb Record Number: 158 Event Level: 0 Message string: A directory service object was modified.\n\t\nSubject:\n\tSecurity ID:\t\tS-1-5-21-4107424128-4158083573-1300325248-500\n\tAccount Name:\t\tAdministrator\n\tAccount Domain:\t\tPIRATE\n\tLogon ID:\t\t0x00000000000464ec\n\nDirectory Service:\n\tName:\tpirate.htb\n\tType:\t%%14676\n\t\nObject:\n\tDN:\tCN=WEB01 CN=Computers DC=pirate DC=htb\n\tGUID:\t{983C1937-6799-4BB4-956D-45B26FAD610B}\n\tClass:\tcomputer\n\t\nAttribute:\n\tLDAP Display Name:\tservicePrincipalName\n\tSyntax (OID):\t2.5.5.12\n\tValue:\tHTTP/WEB01.pirate.htb\n\t\nOperation:\n\tType:\t%%14674\n\tCorrelation ID:\t{DC793FB8-D707-4C70-8545-D9F2F103EEE9}\n\tApplication Correlation ID:\t-"
"11/6/2025, 1:40:36.126031 pm","5136","","","","HTTP/WEB01","[5136 / 0x1410] Provider identifier: {54849625-5478-4994-a5ba-3e3b0328c30d} Source Name: Microsoft-Windows-Security-Auditing Strings: ['{3FC26064-0F38-4B06-8184-92AF391B1AD7}'  '-'  'S-1-5-21-4107424128-4158083573-1300325248-500'  'Administrator'  'PIRATE'  '0x00000000000464ec'  'pirate.htb'  '%%14676'  'CN=WEB01 CN=Computers DC=pirate DC=htb'  '{983C1937-6799-4BB4-956D-45B26FAD610B}'  'computer'  'servicePrincipalName'  '2.5.5.12'  'HTTP/WEB01'  '%%14674'] Computer Name: DC01.pirate.htb Record Number: 159 Event Level: 0 Message string: A directory service object was modified.\n\t\nSubject:\n\tSecurity ID:\t\tS-1-5-21-4107424128-4158083573-1300325248-500\n\tAccount Name:\t\tAdministrator\n\tAccount Domain:\t\tPIRATE\n\tLogon ID:\t\t0x00000000000464ec\n\nDirectory Service:\n\tName:\tpirate.htb\n\tType:\t%%14676\n\t\nObject:\n\tDN:\tCN=WEB01 CN=Computers DC=pirate DC=htb\n\tGUID:\t{983C1937-6799-4BB4-956D-45B26FAD610B}\n\tClass:\tcomputer\n\t\nAttribute:\n\tLDAP Display Name:\tservicePrincipalName\n\tSyntax (OID):\t2.5.5.12\n\tValue:\tHTTP/WEB01\n\t\nOperation:\n\tType:\t%%14674\n\tCorrelation ID:\t{3FC26064-0F38-4B06-8184-92AF391B1AD7}\n\tApplication Correlation ID:\t-"
"11/6/2025, 1:40:36.126031 pm","5136","","","","","[5136 / 0x1410] Provider identifier: {54849625-5478-4994-a5ba-3e3b0328c30d} Source Name: Microsoft-Windows-Security-Auditing Strings: ['{58352C8B-58D1-4199-83AD-56DBE6B889C6}'  '-'  'S-1-5-21-4107424128-4158083573-1300325248-500'  'Administrator'  'PIRATE'  '0x00000000000464ec'  'pirate.htb'  '%%14676'  'CN=WEB01 CN=Computers DC=pirate DC=htb'  '{983C1937-6799-4BB4-956D-45B26FAD610B}'  'computer'  'servicePrincipalName'  '2.5.5.12'  'TERMSRV/WEB01'  '%%14674'] Computer Name: DC01.pirate.htb Record Number: 160 Event Level: 0 Message string: A directory service object was modified.\n\t\nSubject:\n\tSecurity ID:\t\tS-1-5-21-4107424128-4158083573-1300325248-500\n\tAccount Name:\t\tAdministrator\n\tAccount Domain:\t\tPIRATE\n\tLogon ID:\t\t0x00000000000464ec\n\nDirectory Service:\n\tName:\tpirate.htb\n\tType:\t%%14676\n\t\nObject:\n\tDN:\tCN=WEB01 CN=Computers DC=pirate DC=htb\n\tGUID:\t{983C1937-6799-4BB4-956D-45B26FAD610B}\n\tClass:\tcomputer\n\t\nAttribute:\n\tLDAP Display Name:\tservicePrincipalName\n\tSyntax (OID):\t2.5.5.12\n\tValue:\tTERMSRV/WEB01\n\t\nOperation:\n\tType:\t%%14674\n\tCorrelation ID:\t{58352C8B-58D1-4199-83AD-56DBE6B889C6}\n\tApplication Correlation ID:\t-"
"11/6/2025, 1:40:36.127658 pm","5136","","","","","[5136 / 0x1410] Provider identifier: {54849625-5478-4994-a5ba-3e3b0328c30d} Source Name: Microsoft-Windows-Security-Auditing Strings: ['{58352C8B-58D1-4199-83AD-56DBE6B889C6}'  '-'  'S-1-5-21-4107424128-4158083573-1300325248-500'  'Administrator'  'PIRATE'  '0x00000000000464ec'  'pirate.htb'  '%%14676'  'CN=WEB01 CN=Computers DC=pirate DC=htb'  '{983C1937-6799-4BB4-956D-45B26FAD610B}'  'computer'  'servicePrincipalName'  '2.5.5.12'  'TERMSRV/WEB01'  '%%14674'] Computer Name: DC01.pirate.htb Record Number: 160 Event Level: 0 Message string: A directory service object was modified.\n\t\nSubject:\n\tSecurity ID:\t\tS-1-5-21-4107424128-4158083573-1300325248-500\n\tAccount Name:\t\tAdministrator\n\tAccount Domain:\t\tPIRATE\n\tLogon ID:\t\t0x00000000000464ec\n\nDirectory Service:\n\tName:\tpirate.htb\n\tType:\t%%14676\n\t\nObject:\n\tDN:\tCN=WEB01 CN=Computers DC=pirate DC=htb\n\tGUID:\t{983C1937-6799-4BB4-956D-45B26FAD610B}\n\tClass:\tcomputer\n\t\nAttribute:\n\tLDAP Display Name:\tservicePrincipalName\n\tSyntax (OID):\t2.5.5.12\n\tValue:\tTERMSRV/WEB01\n\t\nOperation:\n\tType:\t%%14674\n\tCorrelation ID:\t{58352C8B-58D1-4199-83AD-56DBE6B889C6}\n\tApplication Correlation ID:\t-"
"11/6/2025, 1:40:36.127658 pm","5136","","","","","[5136 / 0x1410] Provider identifier: {54849625-5478-4994-a5ba-3e3b0328c30d} Source Name: Microsoft-Windows-Security-Auditing Strings: ['{EEFCCBE7-16F3-4E7A-B662-C7D48C73C225}'  '-'  'S-1-5-21-4107424128-4158083573-1300325248-500'  'Administrator'  'PIRATE'  '0x00000000000464ec'  'pirate.htb'  '%%14676'  'CN=WEB01 CN=Computers DC=pirate DC=htb'  '{983C1937-6799-4BB4-956D-45B26FAD610B}'  'computer'  'servicePrincipalName'  '2.5.5.12'  'TERMSRV/WEB01.pirate.htb'  '%%14674'] Computer Name: DC01.pirate.htb Record Number: 161 Event Level: 0 Message string: A directory service object was modified.\n\t\nSubject:\n\tSecurity ID:\t\tS-1-5-21-4107424128-4158083573-1300325248-500\n\tAccount Name:\t\tAdministrator\n\tAccount Domain:\t\tPIRATE\n\tLogon ID:\t\t0x00000000000464ec\n\nDirectory Service:\n\tName:\tpirate.htb\n\tType:\t%%14676\n\t\nObject:\n\tDN:\tCN=WEB01 CN=Computers DC=pirate DC=htb\n\tGUID:\t{983C1937-6799-4BB4-956D-45B26FAD610B}\n\tClass:\tcomputer\n\t\nAttribute:\n\tLDAP Display Name:\tservicePrincipalName\n\tSyntax (OID):\t2.5.5.12\n\tValue:\tTERMSRV/WEB01.pirate.htb\n\t\nOperation:\n\tType:\t%%14674\n\tCorrelation ID:\t{EEFCCBE7-16F3-4E7A-B662-C7D48C73C225}\n\tApplication Correlation ID:\t-"
"11/6/2025, 1:40:36.129109 pm","5136","","","","","[5136 / 0x1410] Provider identifier: {54849625-5478-4994-a5ba-3e3b0328c30d} Source Name: Microsoft-Windows-Security-Auditing Strings: ['{160ACE6E-9E30-473B-A42B-A7627A99463B}'  '-'  'S-1-5-21-4107424128-4158083573-1300325248-500'  'Administrator'  'PIRATE'  '0x00000000000464ec'  'pirate.htb'  '%%14676'  'CN=WEB01 CN=Computers DC=pirate DC=htb'  '{983C1937-6799-4BB4-956D-45B26FAD610B}'  'computer'  'servicePrincipalName'  '2.5.5.12'  'RestrictedKrbHost/WEB01'  '%%14674'] Computer Name: DC01.pirate.htb Record Number: 162 Event Level: 0 Message string: A directory service object was modified.\n\t\nSubject:\n\tSecurity ID:\t\tS-1-5-21-4107424128-4158083573-1300325248-500\n\tAccount Name:\t\tAdministrator\n\tAccount Domain:\t\tPIRATE\n\tLogon ID:\t\t0x00000000000464ec\n\nDirectory Service:\n\tName:\tpirate.htb\n\tType:\t%%14676\n\t\nObject:\n\tDN:\tCN=WEB01 CN=Computers DC=pirate DC=htb\n\tGUID:\t{983C1937-6799-4BB4-956D-45B26FAD610B}\n\tClass:\tcomputer\n\t\nAttribute:\n\tLDAP Display Name:\tservicePrincipalName\n\tSyntax (OID):\t2.5.5.12\n\tValue:\tRestrictedKrbHost/WEB01\n\t\nOperation:\n\tType:\t%%14674\n\tCorrelation ID:\t{160ACE6E-9E30-473B-A42B-A7627A99463B}\n\tApplication Correlation ID:\t-"
