TimeCreated,EventID,Provider,Computer,Channel,EventData
2025-06-08T14:35:52.955288Z,1002,DFSR,DC01,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T14:35:52.956316Z,1004,DFSR,DC01,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T14:35:52.974631Z,1314,DFSR,DC01,DFS Replication,"{""Data"": {""#text"": ""C:\\Windows\\debug""}, ""Binary"": null}"
2025-06-08T14:35:54.092001Z,6102,DFSR,DC01,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T14:35:55.097566Z,1202,DFSR,DC01,DFS Replication,"{""Data"": {""#text"": ["""", ""60"", ""1355"", ""The specified domain either does not exist or could not be contacted.""]}, ""Binary"": null}"
2025-06-08T14:39:53.606307Z,1006,DFSR,DC01,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T14:39:54.511951Z,1008,DFSR,DC01,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T14:40:55.021027Z,1002,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T14:40:55.083569Z,1004,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T14:40:55.162540Z,1314,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""C:\\Windows\\debug""}, ""Binary"": null}"
2025-06-08T14:40:57.661890Z,6102,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T14:41:09.078478Z,1202,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ["""", ""60"", ""160"", ""One or more arguments are not correct.""]}, ""Binary"": null}"
2025-06-08T14:46:09.927713Z,1206,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""DC01.pirate.htb""}, ""Binary"": null}"
2025-06-08T14:46:09.944585Z,8000,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""DC01""}, ""Binary"": null}"
2025-06-08T14:46:09.958667Z,6016,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": [""msDFSR-LocalSettings"", ""CN=DFSR-LocalSettings,CN=DC01,OU=Domain Controllers,DC=pirate,DC=htb"", ""1355"", ""The specified domain either does not exist or could not be contacted."", """", ""60""]}, ""Binary"": null}"
2025-06-08T14:46:09.975426Z,1210,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""0""}, ""Binary"": null}"
2025-06-08T14:46:10.052325Z,4602,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": [""F6B08333-823D-4BAA-B870-B7A875756FC4"", ""C:\\Windows\\SYSVOL\\domain"", ""SYSVOL Share"", ""Domain System Volume"", ""DF878E87-D7A9-4212-8588-8A87039A4451"", ""4E666036-EB9F-4D54-A780-3646E069FE74"", """", ""0""]}, ""Binary"": null}"
