TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,AdditionalErrorMessage,AppType,AppVersion,Binary,CACertIdentifier,CACommonName,CAKeyIdentifier,Class,DCName,DCSpecifier,Data_text,Data_text_0,Data_text_1,Data_text_10,Data_text_11,Data_text_12,Data_text_13,Data_text_14,Data_text_15,Data_text_16,Data_text_17,Data_text_18,Data_text_19,Data_text_2,Data_text_20,Data_text_21,Data_text_22,Data_text_3,Data_text_4,Data_text_5,Data_text_6,Data_text_7,Data_text_8,Data_text_9,DisplayName,ErrorCode,ErrorMessageText,ErrorString,EventProvider,Files_File,FullPath,LDAPPath,Library,MethodName,Name,Namespace,Pid,PolicyModuleDescription,Query,Reason,RmSessionId,Status,TSSessionId,URL,UTCStartTime,User,Win32Error,attributes_Name,attributes_xmlns,binaryData,binaryDataSize,nFiles,param1,param10,param11,param12,param2,param3,param4,param5,param6,param7,param8,param9
2025-06-08T23:31:32.804801Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 4625}",WIN-P4PGN19G2KB,Microsoft-Windows-EventSystem,Application,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86400,,,,SuppressDuplicateDuration,Software\Microsoft\EventSystem\EventLog,,,,,,
2025-06-08T23:31:32.802333Z,1531,WIN-P4PGN19G2KB,Microsoft-Windows-User Profiles Service,Application,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08T23:31:33.356452Z,5615,WIN-P4PGN19G2KB,Microsoft-Windows-WMI,Application,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08T23:31:39.453551Z,5617,WIN-P4PGN19G2KB,Microsoft-Windows-WMI,Application,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08T23:31:40.454237Z,1532,WIN-P4PGN19G2KB,Microsoft-Windows-User Profiles Service,Application,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08T23:31:58.146246Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1016}",WIN-P4PGN19G2KB,Microsoft-Windows-Security-SPP,Application,6,4,,,,,,,,,,,,7783a126-c108-4cf7-b59f-13c78c7a7337,db971a64-f523-beb8-94a1-906138c37845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08T23:31:58.286977Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1034}",WIN-P4PGN19G2KB,Microsoft-Windows-Security-SPP,Application,7,4,,,,,,,,,,,,Security-SPP-WriteWauMarker,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08T23:31:58.303457Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1003}",WIN-P4PGN19G2KB,Microsoft-Windows-Security-SPP,Application,8,4,,,,,,,,,,,,55c92734-d682-4d71-983e-d6ec3f16059f,"
1: 7783a126-c108-4cf7-b59f-13c78c7a7337, 1, 0 [(0 )(1 )(2 )(3 [0x00000000, 0, 1], [(?)( 1 0x00000000)( 6 0x00000000 10 14400)(?)(?)(?)( 10 0x00000000 msft:rm/algorithm/flags/1.0)(?)])]

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08T23:31:58.443042Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 4625}",WIN-P4PGN19G2KB,Microsoft-Windows-EventSystem,Application,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86400,,,,SuppressDuplicateDuration,Software\Microsoft\EventSystem\EventLog,,,,,,
2025-06-08T23:31:58.440292Z,1531,WIN-P4PGN19G2KB,Microsoft-Windows-User Profiles Service,Application,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08T14:32:00.212274Z,5615,WIN-P4PGN19G2KB,Microsoft-Windows-WMI,Application,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08T14:32:01.067893Z,5617,WIN-P4PGN19G2KB,Microsoft-Windows-WMI,Application,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
