TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,AccountName,AddServiceStatus,AdditionalInfo,Address,AddressLength,BackupPath,Binary,BitlockerUserInputTime,BootMenuPolicy,BootMode,BootStatusPolicy,BootType,BucketConfidenceLevel,BucketId,BuildVersion,CacheFlushNeeded,CacheFlushSupported,ChannelPath,ClientProcessId,ClientProcessStartKey,ComputerName,Config,CorruptionActionState,CountNew,CountOld,CurrentStratumNumber,DCName,Data_text,Data_text_0,Data_text_1,Data_text_2,Data_text_3,Data_text_4,Data_text_5,Data_text_6,Default SD String:,DeviceAttributes,DeviceInstanceID,DeviceName,DeviceNameLength,DeviceObject,DeviceTime,DeviceVersionMajor,DeviceVersionMinor,DirtyPages,DisabledLoadOption,DomainPeer,DriveName,DriverDescription,DriverFileName,DriverName,DriverNameLength,DriverProvider,DriverVersion,DwordVal,EnableDisableReason,Enabled,EnabledFeatures,EnabledNew,EntryCount,Error,ErrorCode,ErrorDescription,ErrorMessage,ErrorString,FailureName,FailureNameLength,FinalStatus,Flags,Group,GroupName,HResult,HardwareEnabled,HardwarePresent,HiveName,HiveNameLength,HostOSName,HostOSbuildversion,HostOSmajorversion,HostOSminorversion,HostOSservicepackName,HostOSservicepackmajorversion,HostOSservicepackminorversion,HostOSwasWindowsPE,IdleImplementation,IdleStateCount,ImageName,ImagePath,InstallStatus,Installwasanupgrade,InternalInfo,IsDriverOEM,IsTestConfig,KeysUpdated,LastBootGood,LastBootId,LastShutdownGood,LoadOptions,MajorVersion,MaximumPerformancePercent,MinimumPasswordLength,MinimumPasswordLengthAudit,MinimumPerformancePercent,MinimumThrottlePercent,MinorVersion,Name,NewSchemeGuid,NewSize,NewTime,NicFName,NicFNameLen,NicName,NicNameLen,NominalFrequency,NormalProcessId,NotAffectedAtom,NotAffectedRdclNo,Number,Number of RPC methods:,NumberOfGroupPolicyObjects,OSEditionID,OSName,OSbuildversion,OSmajorversion,OSminorversion,OSservicepackName,OSservicepackmajorversion,OSservicepackminorversion,OldSchemeGuid,OldTime,Operation,OriginalSize,OwnerService,ParentHypervisorFlushes,PerformanceImplementation,Policy,PortFName,PortFNameLen,PortName,PortNameLen,PrimaryService,Problems,ProcessID,ProcessName,ProcessPath,ProcessPid,ProcessingMode,ProcessingTimeInMilliseconds,Protocol,PublisherGuid,QfeVersion,QueryName,Reason,RebootOption,RetryMinutes,SchedulerType,ServiceName,ServiceType,ServiceVersion,SetupClass,ShutdownActionType,ShutdownEventCode,ShutdownReason,SmtEnabled,StartTime,StartType,State,Status,StopTime,SubjectDomainName,SubjectUserName,SupportInfo1,SupportInfo2,SwitchFName,SwitchFNameLen,SwitchName,SwitchNameLen,TSId,Target,Throttle Window:,TimeOffsetSeconds,TimeProvider,TimeSource,TimeSourceRefId,TrustletIdentity,UpdateReason,UpdateService,UpdateType,UpgradeDevice,Url,UserSid,VMId,VMIdLen,VMName,VMNameLen,Version,VsmPolicy,attributes_Name,attributes_xmlns,error,errorCode,param1,param10,param11,param2,param3,param4,param5,param6,param7,param8,param9,serviceGuid,spn1,spn2,updateGuid,updateRevisionNumber,updateTitle
2025-06-08T23:31:32.756986Z,"{'#attributes': {'Qualifiers': 32768}, '#text': 6009}",WIN-P4PGN19G2KB,EventLog,System,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00.,17763,,Multiprocessor Free,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08T23:31:32.756986Z,"{'#attributes': {'Qualifiers': 32768}, '#text': 6005}",WIN-P4PGN19G2KB,EventLog,System,2,4,,,,,,,E90706000000080017001F002000F4020000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08T23:31:19.518861Z,12,WIN-P4PGN19G2KB,Microsoft-Windows-Kernel-General,System,3,4,,,,,,,,,,0,,,,,17763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3650,,,,,,,,0,,,,,,2025-06-08T23:31:19.500000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08T23:31:19.518886Z,153,WIN-P4PGN19G2KB,Microsoft-Windows-Kernel-Boot,System,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
2025-06-08T23:31:19.518966Z,25,WIN-P4PGN19G2KB,Microsoft-Windows-Kernel-Boot,System,5,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08T23:31:19.518966Z,27,WIN-P4PGN19G2KB,Microsoft-Windows-Kernel-Boot,System,6,4,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, NOEXECUTE=OPTOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08T23:31:19.518989Z,18,WIN-P4PGN19G2KB,Microsoft-Windows-Kernel-Boot,System,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08T23:31:19.518999Z,32,WIN-P4PGN19G2KB,Microsoft-Windows-Kernel-Boot,System,8,4,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08T23:31:19.521125Z,20,WIN-P4PGN19G2KB,Microsoft-Windows-Kernel-General,System,9,4,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08T23:31:23.489180Z,6,WIN-P4PGN19G2KB,Microsoft-Windows-FilterManager,System,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wof,3,,2025-03-23T16:48:00.000000Z,10,0,,,,,,,,,,,,,,,,,,,,,,,,0x0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
