"No.","Time","Source","Destination","Protocol","Length","Info"
"8","4.380113780","10.10.16.36","10.129.93.181","HTTP","738","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"12","7.651225761","10.129.93.181","10.10.16.36","HTTP","220","HTTP/1.1 401  "
"25","9.569367518","10.10.16.36","10.129.93.181","HTTP","324","POST /wsman HTTP/1.1 , NTLMSSP_NEGOTIATE"
"29","10.939768533","10.129.93.181","10.10.16.36","HTTP","434","HTTP/1.1 401  , NTLMSSP_CHALLENGE"
"31","10.940923910","10.10.16.36","10.129.93.181","HTTP","680","POST /wsman HTTP/1.1 , NTLMSSP_AUTH, User: \\Administrator"
"33","11.850053372","10.129.93.181","10.10.16.36","HTTP","144","HTTP/1.1 200  "
"35","11.852667420","10.10.16.36","10.129.93.181","HTTP","738","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"39","12.856226298","10.129.93.181","10.10.16.36","HTTP","881","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"50","12.865144863","10.10.16.36","10.129.93.181","HTTP","768","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"63","15.588241018","10.129.93.181","10.10.16.36","HTTP","1211","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"66","15.591586121","10.10.16.36","10.129.93.181","HTTP","1033","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"73","16.967995439","10.129.93.181","10.10.16.36","HTTP","985","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"76","16.972876880","10.10.16.36","10.129.93.181","HTTP","1033","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"79","17.776408602","10.129.93.181","10.10.16.36","HTTP","119","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"90","17.783538048","10.10.16.36","10.129.93.181","HTTP","311","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"100","19.939237525","10.129.93.181","10.10.16.36","HTTP","1366","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"102","19.942853504","10.10.16.36","10.129.93.181","HTTP","1082","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"110","22.086207822","10.129.93.181","10.10.16.36","HTTP","415","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"113","22.092333825","10.10.16.36","10.129.93.181","HTTP","1036","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"115","22.683268952","10.129.93.181","10.10.16.36","HTTP","1276","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"124","22.689615617","10.10.16.36","10.129.93.181","HTTP","889","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"133","24.688573144","10.129.93.181","10.10.16.36","HTTP","1366","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"135","24.692766249","10.10.16.36","10.129.93.181","HTTP","1082","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"141","27.643730350","10.129.93.181","10.10.16.36","HTTP","367","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"144","27.646953225","10.10.16.36","10.129.93.181","HTTP","1036","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"146","28.723800333","10.129.93.181","10.10.16.36","HTTP","1276","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"309","38.628728907","10.10.16.36","10.129.93.181","HTTP","703","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"336","39.657141290","10.129.93.181","10.10.16.36","HTTP","1366","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"338","39.661156213","10.10.16.36","10.129.93.181","HTTP","1082","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"341","41.077710766","10.129.93.181","10.10.16.36","HTTP","367","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"344","41.083104161","10.10.16.36","10.129.93.181","HTTP","1036","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"347","45.137856972","10.129.93.181","10.10.16.36","HTTP","1276","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"355","45.143392583","10.10.16.36","10.129.93.181","HTTP","753","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"361","45.663049352","10.129.93.181","10.10.16.36","HTTP","1366","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"363","45.666055913","10.10.16.36","10.129.93.181","HTTP","1082","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"366","46.120286445","10.129.93.181","10.10.16.36","HTTP","367","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"369","46.125537075","10.10.16.36","10.129.93.181","HTTP","1036","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"371","46.520169006","10.129.93.181","10.10.16.36","HTTP","1276","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"373","46.523790315","10.10.16.36","10.129.93.181","HTTP","860","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"375","47.026216806","10.129.93.181","10.10.16.36","HTTP","1120","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"383","47.031448100","10.10.16.36","10.129.93.181","HTTP","725","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"388","47.997044006","10.129.93.181","10.10.16.36","HTTP","1366","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"390","48.000091775","10.10.16.36","10.129.93.181","HTTP","1082","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"396","48.799970188","10.129.93.181","10.10.16.36","HTTP","367","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"399","48.804473954","10.10.16.36","10.129.93.181","HTTP","1036","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"401","49.937719499","10.129.93.181","10.10.16.36","HTTP","1276","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"409","49.943109840","10.10.16.36","10.129.93.181","HTTP","753","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"416","50.849223012","10.129.93.181","10.10.16.36","HTTP","1366","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"419","50.854161549","10.10.16.36","10.129.93.181","HTTP","1082","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
