"SamAccountName","whenCreated","whenChanged","groupType","GroupCategory","GroupScope"
"Administrators","5/13/2026 7:42:55 AM","5/13/2026 7:58:51 AM","-2147483643","Security","DomainLocal"
"Users","5/13/2026 7:42:55 AM","5/13/2026 7:43:41 AM","-2147483643","Security","DomainLocal"
"Guests","5/13/2026 7:42:55 AM","5/13/2026 7:43:41 AM","-2147483643","Security","DomainLocal"
"Print Operators","5/13/2026 7:42:55 AM","5/13/2026 7:58:51 AM","-2147483643","Security","DomainLocal"
"Backup Operators","5/13/2026 7:42:55 AM","5/13/2026 7:58:51 AM","-2147483643","Security","DomainLocal"
"Replicator","5/13/2026 7:42:55 AM","5/13/2026 7:58:51 AM","-2147483643","Security","DomainLocal"
"Remote Desktop Users","5/13/2026 7:42:55 AM","5/13/2026 7:42:55 AM","-2147483643","Security","DomainLocal"
"Network Configuration Operators","5/13/2026 7:42:55 AM","5/13/2026 7:42:55 AM","-2147483643","Security","DomainLocal"
"Performance Monitor Users","5/13/2026 7:42:55 AM","5/13/2026 7:42:55 AM","-2147483643","Security","DomainLocal"
"Performance Log Users","5/13/2026 7:42:55 AM","5/13/2026 7:42:55 AM","-2147483643","Security","DomainLocal"
"Distributed COM Users","5/13/2026 7:42:55 AM","5/13/2026 8:58:40 AM","-2147483643","Security","DomainLocal"
"IIS_IUSRS","5/13/2026 7:42:55 AM","5/23/2026 4:46:39 AM","-2147483643","Security","DomainLocal"
"Cryptographic Operators","5/13/2026 7:42:55 AM","5/13/2026 7:42:55 AM","-2147483643","Security","DomainLocal"
"Event Log Readers","5/13/2026 7:42:55 AM","5/13/2026 7:42:55 AM","-2147483643","Security","DomainLocal"
"Certificate Service DCOM Access","5/13/2026 7:42:55 AM","5/13/2026 7:51:28 AM","-2147483643","Security","DomainLocal"
"RDS Remote Access Servers","5/13/2026 7:42:55 AM","5/13/2026 7:42:55 AM","-2147483643","Security","DomainLocal"
"RDS Endpoint Servers","5/13/2026 7:42:55 AM","5/13/2026 7:42:55 AM","-2147483643","Security","DomainLocal"
"RDS Management Servers","5/13/2026 7:42:55 AM","5/13/2026 7:42:55 AM","-2147483643","Security","DomainLocal"
"Hyper-V Administrators","5/13/2026 7:42:55 AM","5/13/2026 7:42:55 AM","-2147483643","Security","DomainLocal"
"Access Control Assistance Operators","5/13/2026 7:42:55 AM","5/13/2026 7:42:55 AM","-2147483643","Security","DomainLocal"
"Remote Management Users","5/13/2026 7:42:55 AM","9/1/2026 3:00:36 PM","-2147483643","Security","DomainLocal"
"Storage Replica Administrators","5/13/2026 7:42:55 AM","5/13/2026 7:42:55 AM","-2147483643","Security","DomainLocal"
"Domain Computers","5/13/2026 7:43:41 AM","5/13/2026 7:43:41 AM","-2147483646","Security","Global"
"Domain Controllers","5/13/2026 7:43:41 AM","5/13/2026 7:58:51 AM","-2147483646","Security","Global"
"Schema Admins","5/13/2026 7:43:41 AM","5/13/2026 7:58:51 AM","-2147483640","Security","Universal"
"Enterprise Admins","5/13/2026 7:43:41 AM","5/13/2026 7:58:51 AM","-2147483640","Security","Universal"
"Cert Publishers","5/13/2026 7:43:41 AM","5/13/2026 7:51:28 AM","-2147483644","Security","DomainLocal"
"Domain Admins","5/13/2026 7:43:41 AM","5/13/2026 7:58:51 AM","-2147483646","Security","Global"
"Domain Users","5/13/2026 7:43:41 AM","5/13/2026 7:43:41 AM","-2147483646","Security","Global"
"Domain Guests","5/13/2026 7:43:41 AM","5/13/2026 7:43:41 AM","-2147483646","Security","Global"
"Group Policy Creator Owners","5/13/2026 7:43:41 AM","5/13/2026 7:43:41 AM","-2147483646","Security","Global"
"RAS and IAS Servers","5/13/2026 7:43:41 AM","5/13/2026 7:43:41 AM","-2147483644","Security","DomainLocal"
"Server Operators","5/13/2026 7:43:41 AM","5/13/2026 7:58:51 AM","-2147483643","Security","DomainLocal"
"Account Operators","5/13/2026 7:43:41 AM","5/13/2026 7:58:51 AM","-2147483643","Security","DomainLocal"
"Pre-Windows 2000 Compatible Access","5/13/2026 7:43:41 AM","5/13/2026 7:51:28 AM","-2147483643","Security","DomainLocal"
"Incoming Forest Trust Builders","5/13/2026 7:43:41 AM","5/13/2026 7:43:41 AM","-2147483643","Security","DomainLocal"
"Windows Authorization Access Group","5/13/2026 7:43:41 AM","5/13/2026 7:43:41 AM","-2147483643","Security","DomainLocal"
"Terminal Server License Servers","5/13/2026 7:43:41 AM","5/13/2026 7:43:41 AM","-2147483643","Security","DomainLocal"
"Allowed RODC Password Replication Group","5/13/2026 7:43:41 AM","5/13/2026 7:43:41 AM","-2147483644","Security","DomainLocal"
"Denied RODC Password Replication Group","5/13/2026 7:43:41 AM","5/13/2026 7:43:41 AM","-2147483644","Security","DomainLocal"
"Read-only Domain Controllers","5/13/2026 7:43:41 AM","5/13/2026 7:58:51 AM","-2147483646","Security","Global"
"Enterprise Read-only Domain Controllers","5/13/2026 7:43:41 AM","5/13/2026 7:43:41 AM","-2147483640","Security","Universal"
"Cloneable Domain Controllers","5/13/2026 7:43:41 AM","5/13/2026 7:43:41 AM","-2147483646","Security","Global"
"Protected Users","5/13/2026 7:43:41 AM","5/13/2026 7:43:41 AM","-2147483646","Security","Global"
"Key Admins","5/13/2026 7:43:41 AM","5/13/2026 7:58:51 AM","-2147483646","Security","Global"
"Enterprise Key Admins","5/13/2026 7:43:41 AM","5/13/2026 7:58:51 AM","-2147483640","Security","Universal"
"DnsAdmins","5/13/2026 7:44:21 AM","5/13/2026 7:44:21 AM","-2147483644","Security","DomainLocal"
"DnsUpdateProxy","5/13/2026 7:44:21 AM","5/13/2026 7:44:21 AM","-2147483646","Security","Global"
"IT","5/13/2026 7:57:44 AM","9/20/2026 5:22:16 AM","-2147483646","Security","Global"
"Package_Developers","5/13/2026 7:58:26 AM","5/24/2026 7:39:21 AM","-2147483646","Security","Global"
"Deploy_Operators","5/13/2026 7:58:32 AM","5/17/2026 7:54:15 AM","-2147483646","Security","Global"
"Endpoint Remote Management","5/13/2026 7:59:45 AM","9/20/2026 5:22:59 AM","-2147483646","Security","Global"
"Helpdesk","5/13/2026 7:59:55 AM","5/14/2026 2:00:19 PM","-2147483646","Security","Global"
"Helpdesk operator","5/14/2026 1:59:40 PM","9/20/2026 5:02:35 AM","-2147483646","Security","Global"
"Quarantined_Accounts","5/14/2026 2:05:30 PM","9/20/2026 5:11:55 AM","2","Distribution","Global"
"Identity_Operations","5/14/2026 2:06:53 PM","5/17/2026 9:22:05 AM","-2147483646","Security","Global"
"Packages-QA","5/18/2026 3:38:15 PM","5/24/2026 7:38:35 AM","-2147483646","Security","Global"
"SQLServer2005SQLBrowserUser$DC","5/23/2026 4:33:09 AM","5/23/2026 4:33:09 AM","-2147483644","Security","DomainLocal"
"Package_Validators","5/23/2026 4:40:05 AM","5/24/2026 3:17:26 PM","-2147483646","Security","Global"
"Deployment_Admins","5/23/2026 4:40:13 AM","5/24/2026 7:39:55 AM","-2147483646","Security","Global"
