"Name","Version","InstallDate","Vendor"
"Microsoft .NET Host - 8.0.27 (x64)","64.108.52182","20260523","Microsoft Corporation"
"Microsoft.NET.Sdk.Maui.Manifest-8.0.100 (x64)","8.0.3","20260523","Microsoft Corporation"
"Oscdimg (DesktopEditions)","10.1.26100.2454","20260524","Microsoft"
"Imaging Designer (DesktopEditions)","10.1.26100.2454","20260524","Microsoft"
"Windows Deployment Tools","10.1.26100.2454","20260524","Microsoft"
"Microsoft SQL Server 2019 T-SQL Language Service ","15.0.2000.5","20260523","Microsoft Corporation"
"OEM Test Certificates (OnecoreUAP)","10.1.26100.2454","20260524","Microsoft"
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)","64.108.52097","20260523","Microsoft Corporation"
"Microsoft .NET Host - 8.0.8 (x86)","64.32.18380","20260523","Microsoft Corporation"
"VMware Tools","12.5.3.24819442","20260513","VMware, Inc."
"SQL Server 2019 XEvent","15.0.2000.5","20260523","Microsoft Corporation"
"Microsoft Deployment Toolkit (6.3.8450.1000)","6.3.8450.1000","20260515","Microsoft Corporation"
"SQL Server 2019 Connection Info","15.0.2000.5","20260523","Microsoft Corporation"
"SQL Server 2019 DMF","15.0.2000.5","20260523","Microsoft Corporation"
"OACheck","10.1.26100.2454","20260524","Microsoft"
"Windows Deployment Image Servicing and Management - Headers and Libraries","10.1.26100.2454","20260524","Microsoft"
"Imaging Designer (OnecoreUAP)","10.1.26100.2454","20260524","Microsoft"
"User State Migration Tool (ClientCore)","10.1.26100.2454","20260524","Microsoft"
"Imaging And Configuration Designer (DesktopEditions)","10.1.26100.2454","20260524","Microsoft"
"Windows Setup Files (OnecoreUAP)","10.1.26100.2454","20260524","Microsoft"
"Microsoft .NET Host FX Resolver - 8.0.27 (x64)","64.108.52182","20260523","Microsoft Corporation"
"Microsoft ASP.NET Core 8.0.8 Shared Framework (x64)","8.0.8.24369","20260523","Microsoft Corporation"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.40.33816","14.40.33816","20260513","Microsoft Corporation"
"OATool","10.1.26100.2454","20260524","Microsoft"
"Microsoft SQL Server 2019 RsFx Driver","15.0.2000.5","20260523","Microsoft Corporation"
"Microsoft VSS Writer for SQL Server 2019","15.0.2000.5","20260523","Microsoft Corporation"
"Microsoft .NET Runtime - 8.0.8 (x86)","64.32.18380","20260523","Microsoft Corporation"
"Kits Configuration Installer","10.1.26100.2454","20260524","Microsoft"
"Microsoft ASP.NET Core 8.0.27 Targeting Pack (x64)","8.0.27.26230","20260523","Microsoft Corporation"
"Microsoft ASP.NET Core 8.0.27 Shared Framework (x64)","8.0.27.26230","20260523","Microsoft Corporation"
"Microsoft.NET.Sdk.iOS.Manifest-8.0.100 (x64)","17.0.8478","20260523","Microsoft Corporation"
"WPTx64 (OnecoreUAP)","10.1.26100.2454","20260524","Microsoft"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.40.33816","14.40.33816","20260513","Microsoft Corporation"
"SQL Server 2019 Connection Info","15.0.2000.5","20260523","Microsoft Corporation"
"Microsoft.NET.Sdk.Aspire.Manifest-8.0.100 (x64)","64.0.5426","20260523","Microsoft Corporation"
"Microsoft ODBC Driver 17 for SQL Server","17.4.0.1","20260523","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)","64.108.52182","20260523","Microsoft Corporation"
"Windows Deployment Customizations","10.1.26100.2454","20260524","Microsoft"
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)","64.108.52097","20260523","Microsoft Corporation"
"Windows Deployment Image Servicing and Management Tools (OnecoreUAP)","10.1.26100.2454","20260524","Microsoft"
"Microsoft .NET Host FX Resolver - 8.0.8 (x86)","64.32.18380","20260523","Microsoft Corporation"
"SQL Server 2019 Database Engine Shared","15.0.2000.5","20260523","Microsoft Corporation"
"Browser for SQL Server 2019","15.0.2000.5","20260523","Microsoft Corporation"
"Microsoft SQL Server 2012 Native Client ","11.4.7462.6","20260523","Microsoft Corporation"
"Microsoft Windows Desktop Targeting Pack - 8.0.27 (x64)","64.108.52193","20260523","Microsoft Corporation"
"SQL Server 2019 DMF","15.0.2000.5","20260523","Microsoft Corporation"
"Microsoft.NET.Sdk.macOS.Manifest-8.0.100 (x64)","14.0.8478","20260523","Microsoft Corporation"
"Microsoft ASP.NET Core Module V2","18.0.24201.0","20260523","Microsoft Corporation"
"SQL Server 2019 Shared Management Objects Extensions","15.0.2000.5","20260523","Microsoft Corporation"
"Imaging Tools Support (DesktopEditions)","10.1.26100.2454","20260524","Microsoft"
"Toolkit Documentation","10.1.26100.2454","20260524","Microsoft"
"SQL Server 2019 SQL Diagnostics","15.0.2000.5","20260523","Microsoft Corporation"
"Microsoft .NET Host FX Resolver - 8.0.8 (x64)","64.32.18380","20260523","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 8.0.27 (x64_x86)","64.108.52182","20260523","Microsoft Corporation"
"Microsoft .NET Targeting Pack - 8.0.27 (x64)","64.108.52182","20260523","Microsoft Corporation"
"Oscdimg (OnecoreUAP)","10.1.26100.2454","20260524","Microsoft"
"Microsoft.NET.Sdk.tvOS.Manifest-8.0.100 (x64)","17.0.8478","20260523","Microsoft Corporation"
"User State Migration Tool (DesktopEditions)","10.1.26100.2454","20260524","Microsoft"
"7-Zip 26.01 (x64 edition)","26.01.00.0","20260525","Igor Pavlov"
"SQL Server 2019 Shared Management Objects","15.0.2000.5","20260523","Microsoft Corporation"
"SQL Server 2019 Common Files","15.0.2000.5","20260523","Microsoft Corporation"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.40.33816","14.40.33816","20260513","Microsoft Corporation"
"Microsoft.NET.Sdk.Android.Manifest-8.0.100 (x64)","34.0.43","20260523","Microsoft Corporation"
"WPT Redistributables","10.1.26100.2454","20260524","Microsoft"
"Microsoft Windows Desktop Runtime - 8.0.27 (x64)","64.108.52193","20260523","Microsoft Corporation"
"Windows Deployment Image Servicing and Management Tools (DesktopEditions)","10.1.26100.2454","20260524","Microsoft"
"Windows Setup Files (ShellCommon)","10.1.26100.2454","20260524","Microsoft"
"Windows Deployment Tools Environment","10.1.26100.2454","20260524","Microsoft"
"Microsoft .NET AppHost Pack - 8.0.27 (x64_arm64)","64.108.52182","20260523","Microsoft Corporation"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-8.0.100 (x64)","17.0.8478","20260523","Microsoft Corporation"
"SQL Server 2019 Shared Management Objects Extensions","15.0.2000.5","20260523","Microsoft Corporation"
"User State Migration Tool (OnecoreUAP)","10.1.26100.2454","20260524","Microsoft"
"Microsoft .NET Runtime - 8.0.27 (x64)","64.108.52182","20260523","Microsoft Corporation"
"Microsoft OLE DB Driver for SQL Server","18.2.3.0","20260523","Microsoft Corporation"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.40.33816","14.40.33816","20260513","Microsoft Corporation"
"SQL Server 2019 Batch Parser","15.0.2000.5","20260523","Microsoft Corporation"
"OA3Tool","10.1.26100.2454","20260524","Microsoft"
"Windows Setup Files (DesktopEditions)","10.1.26100.2454","20260524","Microsoft"
"SQL Server 2019 Shared Management Objects","15.0.2000.5","20260523","Microsoft Corporation"
"Microsoft .NET Runtime - 8.0.8 (x64)","64.32.18380","20260523","Microsoft Corporation"
"Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)","24.0.28113","20260523","Microsoft Corporation"
"SQL Server 2019 Database Engine Services","15.0.2000.5","20260523","Microsoft Corporation"
"Windows Setup Files (Holographic)","10.1.26100.2454","20260524","Microsoft"
"SQL Server 2019 Database Engine Shared","15.0.2000.5","20260523","Microsoft Corporation"
"Microsoft ASP.NET Core 8.0.8 Hosting Bundle Options","8.0.8.24369","20260523","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)","64.108.52182","20260523","Microsoft Corporation"
"WPTx64 (DesktopEditions)","10.1.26100.2454","20260524","Microsoft"
"Imaging Tools Support (OnecoreUAP)","10.1.26100.2454","20260524","Microsoft"
"Microsoft ASP.NET Core 8.0.8 Shared Framework (x86)","8.0.8.24369","20260523","Microsoft Corporation"
"SQL Server 2019 Common Files","15.0.2000.5","20260523","Microsoft Corporation"
"Microsoft .NET Toolset 8.0.421 (x64)","32.15.18490","20260523","Microsoft Corporation"
"Microsoft SQL Server 2019 Setup (English)","15.0.4013.40","20260523","Microsoft Corporation"
"SQL Server 2019 XEvent","15.0.2000.5","20260523","Microsoft Corporation"
"Windows System Image Manager","10.1.26100.2454","20260524","Microsoft"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)","64.108.52182","20260523","Microsoft Corporation"
"SQL Server 2019 Database Engine Services","15.0.2000.5","20260523","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)","64.108.52097","20260523","Microsoft Corporation"
"Windows Setup Files (ClientCore)","10.1.26100.2454","20260524","Microsoft"
"Microsoft .NET 8.0 Templates 8.0.421 (x64)","32.15.51258","20260523","Microsoft Corporation"
"Imaging And Configuration Designer (OnecoreUAP)","10.1.26100.2454","20260524","Microsoft"
"Microsoft .NET AppHost Pack - 8.0.27 (x64)","64.108.52182","20260523","Microsoft Corporation"
"BCD and Boot","10.1.26100.2454","20260524","Microsoft"
