"Name","Enabled","LastLogon","PasswordLastSet"
"Administrator","True","9/20/2026 4:20:07 AM","9/1/2026 4:53:53 PM"
"Guest","False",,
"krbtgt","False",,"5/13/2026 7:43:41 AM"
"svc_mdt","True",,"5/17/2026 9:08:30 AM"
"m.carter","True","9/20/2026 5:04:04 AM","5/17/2026 9:04:48 AM"
"svc_deploy","True","9/20/2026 5:00:46 AM","5/13/2026 8:10:51 AM"
"t.nguyen","True",,"5/13/2026 8:11:11 AM"
"j.harris","True","9/20/2026 4:31:50 AM","5/13/2026 8:12:09 AM"
"r.wilson","True","9/20/2026 5:00:49 AM","5/14/2026 2:51:20 PM"
"k.patel","True",,"5/21/2026 5:13:18 PM"
"d.cooper","True","9/20/2026 5:53:18 AM","5/24/2026 7:39:21 AM"
"m.chen","True","5/25/2026 7:46:10 AM","5/25/2026 7:46:06 AM"
"t.walker","True",,"5/25/2026 7:45:16 AM"
"o.bennett","True",,"5/24/2026 7:39:45 AM"
"svc_mdtmonitor","True","9/20/2026 4:21:41 AM","9/7/2026 7:49:11 PM"
"DC$","True","9/20/2026 4:49:04 AM","9/1/2026 2:46:21 PM"
