"TaskName","Path","State","Actions","Args","LastRun","NextRun"
"CreateExplorerShellUnelevatedTask","\","Ready","C:\Windows\Explorer.EXE","/NoUACCheck","9/7/2026 9:35:35 PM",
"MicrosoftEdgeUpdateTaskMachineCore","\","Disabled","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe","/c","9/1/2026 10:43:43 PM","9/20/2026 11:18:18 PM"
"MicrosoftEdgeUpdateTaskMachineUA","\","Disabled","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe","/ua /installsource scheduler","9/1/2026 8:48:48 PM","9/20/2026 8:48:48 AM"
"Server Initial Configuration Task","\Microsoft\Windows\","Disabled","%windir%\system32\srvinitconfig.exe","/disableconfigtask","5/13/2026 7:32:32 AM",
".NET Framework NGEN v4.0.30319","\Microsoft\Windows\.NET Framework\","Disabled","","","9/1/2026 10:54:54 PM",
".NET Framework NGEN v4.0.30319 64","\Microsoft\Windows\.NET Framework\","Disabled","","","9/1/2026 10:54:54 PM",
".NET Framework NGEN v4.0.30319 64 Critical","\Microsoft\Windows\.NET Framework\","Disabled","","","11/30/1999 12:00:00 AM",
".NET Framework NGEN v4.0.30319 Critical","\Microsoft\Windows\.NET Framework\","Disabled","","","11/30/1999 12:00:00 AM",
"AD RMS Rights Policy Template Management (Automated)","\Microsoft\Windows\Active Directory Rights Management Services Client\","Disabled","","","11/30/1999 12:00:00 AM","9/21/2026 3:06:06 AM"
"AD RMS Rights Policy Template Management (Manual)","\Microsoft\Windows\Active Directory Rights Management Services Client\","Ready","","","11/30/1999 12:00:00 AM",
"EDP Policy Manager","\Microsoft\Windows\AppID\","Ready","","","11/30/1999 12:00:00 AM",
"PolicyConverter","\Microsoft\Windows\AppID\","Disabled","%windir%\system32\appidpolicyconverter.exe","","11/30/1999 12:00:00 AM",
"VerifiedPublisherCertStoreCheck","\Microsoft\Windows\AppID\","Disabled","%windir%\system32\appidcertstorecheck.exe","","11/30/1999 12:00:00 AM",
"Microsoft Compatibility Appraiser","\Microsoft\Windows\Application Experience\","Ready","%windir%\system32\compattelrunner.exe","","9/20/2026 4:28:28 AM","9/21/2026 3:34:34 AM"
"PcaPatchDbTask","\Microsoft\Windows\Application Experience\","Ready","%windir%\system32\rundll32.exe","%windir%\system32\PcaSvc.dll,PcaPatchSdbTask","9/20/2026 4:28:28 AM","9/20/2026 4:54:54 PM"
"ProgramDataUpdater","\Microsoft\Windows\Application Experience\","Ready","%windir%\system32\compattelrunner.exe","-maintenance","9/20/2026 4:29:29 AM",
"StartupAppTask","\Microsoft\Windows\Application Experience\","Ready","%windir%\system32\rundll32.exe","Startupscan.dll,SusRunTask","9/7/2026 7:27:27 PM",
"appuriverifierdaily","\Microsoft\Windows\ApplicationData\","Ready","%windir%\system32\AppHostRegistrationVerifier.exe","","6/2/2026 7:19:19 AM",
"appuriverifierinstall","\Microsoft\Windows\ApplicationData\","Ready","%windir%\system32\AppHostRegistrationVerifier.exe","","11/30/1999 12:00:00 AM",
"CleanupTemporaryState","\Microsoft\Windows\ApplicationData\","Ready","%windir%\system32\rundll32.exe","Windows.Storage.ApplicationData.dll,CleanupTemporaryState","9/20/2026 4:29:29 AM",
"DsSvcCleanup","\Microsoft\Windows\ApplicationData\","Ready","%windir%\system32\dstokenclean.exe","","9/20/2026 4:29:29 AM",
"Pre-staged app cleanup","\Microsoft\Windows\AppxDeploymentClient\","Disabled","%windir%\system32\rundll32.exe","%windir%\system32\AppxDeploymentClient.dll,AppxPreStageCleanupRunTask","5/13/2026 8:53:53 AM",
"Proxy","\Microsoft\Windows\Autochk\","Ready","%windir%\system32\rundll32.exe","/d acproxy.dll,PerformAutochkOperations","9/20/2026 4:59:59 AM",
"BitLocker Encrypt All Drives","\Microsoft\Windows\BitLocker\","Ready","","","11/30/1999 12:00:00 AM",
"BitLocker MDM policy Refresh","\Microsoft\Windows\BitLocker\","Ready","","","11/30/1999 12:00:00 AM",
"UninstallDeviceTask","\Microsoft\Windows\Bluetooth\","Disabled","BthUdTask.exe","$(Arg0)","11/30/1999 12:00:00 AM",
"BgTaskRegistrationMaintenanceTask","\Microsoft\Windows\BrokerInfrastructure\","Ready","","","9/20/2026 4:29:29 AM",
"AikCertEnrollTask","\Microsoft\Windows\CertificateServicesClient\","Ready","","","11/30/1999 12:00:00 AM",
"CryptoPolicyTask","\Microsoft\Windows\CertificateServicesClient\","Ready","","","11/30/1999 12:00:00 AM",
"KeyPreGenTask","\Microsoft\Windows\CertificateServicesClient\","Ready","","","5/13/2026 2:00:00 PM",
"SystemTask","\Microsoft\Windows\CertificateServicesClient\","Ready","","","9/20/2026 4:19:19 AM",
"UserTask","\Microsoft\Windows\CertificateServicesClient\","Ready","","","9/7/2026 9:35:35 PM",
"UserTask-Roam","\Microsoft\Windows\CertificateServicesClient\","Ready","","","5/14/2026 3:01:01 PM",
"ProactiveScan","\Microsoft\Windows\Chkdsk\","Ready","","","9/20/2026 4:29:29 AM",
"SyspartRepair","\Microsoft\Windows\Chkdsk\","Ready","%windir%\system32\bcdboot.exe","%windir% /sysrepair","11/30/1999 12:00:00 AM",
"License Validation","\Microsoft\Windows\Clip\","Disabled","%SystemRoot%\system32\ClipUp.exe","-p -s -o","11/30/1999 12:00:00 AM",
"CreateObjectTask","\Microsoft\Windows\CloudExperienceHost\","Ready","","","11/30/1999 12:00:00 AM",
"Consolidator","\Microsoft\Windows\Customer Experience Improvement Program\","Ready","%SystemRoot%\System32\wsqmcons.exe","","9/20/2026 6:00:00 AM","9/20/2026 12:00:00 PM"
"UsbCeip","\Microsoft\Windows\Customer Experience Improvement Program\","Ready","","","9/20/2026 4:29:29 AM",
"Data Integrity Check And Scan","\Microsoft\Windows\Data Integrity Scan\","Ready","","","9/20/2026 4:28:28 AM","9/20/2026 11:57:57 PM"
"Data Integrity Scan","\Microsoft\Windows\Data Integrity Scan\","Ready","","","11/30/1999 12:00:00 AM",
"Data Integrity Scan for Crash Recovery","\Microsoft\Windows\Data Integrity Scan\","Ready","","","11/30/1999 12:00:00 AM",
"ScheduledDefrag","\Microsoft\Windows\Defrag\","Ready","%windir%\system32\defrag.exe","-c -h -k -g -$","9/20/2026 4:29:29 AM",
"Device","\Microsoft\Windows\Device Information\","Ready","%windir%\system32\devicecensus.exe","SystemCxt","9/20/2026 4:28:28 AM","9/21/2026 4:50:50 AM"
"Device User","\Microsoft\Windows\Device Information\","Ready","%windir%\system32\devicecensus.exe","UserCxt","9/7/2026 7:29:29 PM",
"Metadata Refresh","\Microsoft\Windows\Device Setup\","Ready","","","9/7/2026 7:27:27 PM",
"Scheduled","\Microsoft\Windows\Diagnosis\","Ready","","","9/7/2026 7:27:27 PM",
"DirectXDatabaseUpdater","\Microsoft\Windows\DirectX\","Ready","%windir%\system32\directxdatabaseupdater.exe","","5/15/2026 7:59:59 AM",
"DXGIAdapterCache","\Microsoft\Windows\DirectX\","Ready","%windir%\system32\dxgiadaptercache.exe","","9/20/2026 4:20:20 AM",
"SilentCleanup","\Microsoft\Windows\DiskCleanup\","Ready","%windir%\system32\cleanmgr.exe","/autocleanstoragesense /d %systemdrive%","9/7/2026 7:31:31 PM",
"Microsoft-Windows-DiskDiagnosticDataCollector","\Microsoft\Windows\DiskDiagnostic\","Disabled","%windir%\system32\rundll32.exe","dfdts.dll,DfdGetDefaultPolicyAndSMART","9/20/2026 4:29:29 AM",
"Microsoft-Windows-DiskDiagnosticResolver","\Microsoft\Windows\DiskDiagnostic\","Disabled","%windir%\system32\DFDWiz.exe","","11/30/1999 12:00:00 AM",
"Diagnostics","\Microsoft\Windows\DiskFootprint\","Ready","%windir%\system32\disksnapshot.exe","-z","9/20/2026 4:29:29 AM",
"StorageSense","\Microsoft\Windows\DiskFootprint\","Ready","","","9/20/2026 4:29:29 AM",
"EDP App Launch Task","\Microsoft\Windows\EDP\","Ready","","","11/30/1999 12:00:00 AM",
"EDP Auth Task","\Microsoft\Windows\EDP\","Ready","","","11/30/1999 12:00:00 AM",
"EDP Inaccessible Credentials Task","\Microsoft\Windows\EDP\","Ready","","","11/30/1999 12:00:00 AM",
"StorageCardEncryption Task","\Microsoft\Windows\EDP\","Ready","","","11/30/1999 12:00:00 AM",
"ExploitGuard MDM policy Refresh","\Microsoft\Windows\ExploitGuard\","Ready","","","9/20/2026 4:19:19 AM",
"Property Definition Sync","\Microsoft\Windows\File Classification Infrastructure\","Disabled","","","11/30/1999 12:00:00 AM","9/21/2026 3:20:20 AM"
"ReconcileFeatures","\Microsoft\Windows\Flighting\FeatureConfig\","Ready","","","9/20/2026 4:22:22 AM",
"UsageDataFlushing","\Microsoft\Windows\Flighting\FeatureConfig\","Ready","","","11/30/1999 12:00:00 AM",
"UsageDataReporting","\Microsoft\Windows\Flighting\FeatureConfig\","Ready","","","9/20/2026 4:19:19 AM",
"RefreshCache","\Microsoft\Windows\Flighting\OneSettings\","Ready","","","9/20/2026 4:28:28 AM","9/20/2026 8:21:21 AM"
"LocalUserSyncDataAvailable","\Microsoft\Windows\Input\","Ready","","","5/13/2026 7:32:32 AM",
"MouseSyncDataAvailable","\Microsoft\Windows\Input\","Ready","","","11/30/1999 12:00:00 AM",
"PenSyncDataAvailable","\Microsoft\Windows\Input\","Ready","","","11/30/1999 12:00:00 AM",
"TouchpadSyncDataAvailable","\Microsoft\Windows\Input\","Ready","","","11/30/1999 12:00:00 AM",
"ScanForUpdates","\Microsoft\Windows\InstallService\","Disabled","","","11/30/1999 12:00:00 AM","9/20/2026 10:35:35 PM"
"ScanForUpdatesAsUser","\Microsoft\Windows\InstallService\","Disabled","","","11/30/1999 12:00:00 AM",
"SmartRetry","\Microsoft\Windows\InstallService\","Disabled","","","11/30/1999 12:00:00 AM",
"WakeUpAndContinueUpdates","\Microsoft\Windows\InstallService\","Disabled","","","11/30/1999 12:00:00 AM",
"WakeUpAndScanForUpdates","\Microsoft\Windows\InstallService\","Disabled","","","11/30/1999 12:00:00 AM","9/21/2026 4:56:56 AM"
"Synchronize Language Settings","\Microsoft\Windows\International\","Ready","","","9/7/2026 9:36:36 PM",
"Installation","\Microsoft\Windows\LanguageComponentsInstaller\","Ready","","","9/7/2026 7:36:36 PM",
"Uninstallation","\Microsoft\Windows\LanguageComponentsInstaller\","Disabled","","","5/17/2026 7:02:02 AM",
"TempSignedLicenseExchange","\Microsoft\Windows\License Manager\","Ready","","","9/7/2026 7:27:27 PM",
"Notifications","\Microsoft\Windows\Location\","Ready","%windir%\System32\LocationNotificationWindows.exe","","11/30/1999 12:00:00 AM",
"WindowsActionDialog","\Microsoft\Windows\Location\","Ready","%windir%\System32\WindowsActionDialog.exe","","11/30/1999 12:00:00 AM",
"WinSAT","\Microsoft\Windows\Maintenance\","Ready","","","9/7/2026 7:43:43 PM",
"MapsToastTask","\Microsoft\Windows\Maps\","Disabled","","","11/30/1999 12:00:00 AM",
"MapsUpdateTask","\Microsoft\Windows\Maps\","Disabled","","","11/30/1999 12:00:00 AM","9/21/2026 12:54:54 AM"
"ProcessMemoryDiagnosticEvents","\Microsoft\Windows\MemoryDiagnostic\","Disabled","","","11/30/1999 12:00:00 AM",
"RunFullMemoryDiagnostic","\Microsoft\Windows\MemoryDiagnostic\","Disabled","","","11/30/1999 12:00:00 AM",
"LPRemove","\Microsoft\Windows\MUI\","Ready","%windir%\system32\lpremove.exe","","9/20/2026 4:29:29 AM",
