"Name","DisplayName","State","StartMode","PathName","StartName"
"ADWS","Active Directory Web Services","Running","Auto","C:\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe","LocalSystem"
"AJRouter","AllJoyn Router Service","Stopped","Manual","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","NT AUTHORITY\LocalService"
"ALG","Application Layer Gateway Service","Stopped","Manual","C:\Windows\System32\alg.exe","NT AUTHORITY\LocalService"
"AppHostSvc","Application Host Helper Service","Running","Auto","C:\Windows\system32\svchost.exe -k apphost","localSystem"
"AppIDSvc","Application Identity","Stopped","Manual","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","NT Authority\LocalService"
"Appinfo","Application Information","Stopped","Manual","C:\Windows\system32\svchost.exe -k netsvcs -p","LocalSystem"
"AppMgmt","Application Management","Stopped","Manual","C:\Windows\system32\svchost.exe -k netsvcs -p","LocalSystem"
"AppReadiness","App Readiness","Stopped","Manual","C:\Windows\System32\svchost.exe -k AppReadiness -p","LocalSystem"
"AppVClient","Microsoft App-V Client","Stopped","Disabled","C:\Windows\system32\AppVClient.exe","LocalSystem"
"AppXSvc","AppX Deployment Service (AppXSVC)","Stopped","Manual","C:\Windows\system32\svchost.exe -k wsappx -p","LocalSystem"
"aspnet_state","ASP.NET State Service","Stopped","Manual","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\aspnet_state.exe","NT AUTHORITY\NetworkService"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Stopped","Manual","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","LocalSystem"
"Audiosrv","Windows Audio","Stopped","Manual","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","NT AUTHORITY\LocalService"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Disabled","C:\Windows\system32\svchost.exe -k AxInstSVGroup","LocalSystem"
"AzureAttestService","AzureAttestService","Running","Auto","C:\Windows\system32\svchost.exe -k AzureAttestService","LocalSystem"
"BFE","Base Filtering Engine","Running","Auto","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p","NT AUTHORITY\LocalService"
"BITS","Background Intelligent Transfer Service","Stopped","Manual","C:\Windows\System32\svchost.exe -k netsvcs -p","LocalSystem"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Auto","C:\Windows\system32\svchost.exe -k DcomLaunch -p","LocalSystem"
"bthserv","Bluetooth Support Service","Stopped","Manual","C:\Windows\system32\svchost.exe -k LocalService -p","NT AUTHORITY\LocalService"
"camsvc","Capability Access Manager Service","Stopped","Manual","C:\Windows\system32\svchost.exe -k appmodel -p","LocalSystem"
"CDPSvc","Connected Devices Platform Service","Running","Auto","C:\Windows\system32\svchost.exe -k LocalService -p","NT AUTHORITY\LocalService"
"CertPropSvc","Certificate Propagation","Stopped","Manual","C:\Windows\system32\svchost.exe -k netsvcs","LocalSystem"
"CertSvc","Active Directory Certificate Services","Running","Auto","C:\Windows\system32\certsrv.exe","localSystem"
