"Path","SHA256","SizeBytes","CollectedUtc"
"C:\Evidence\Scaffold-IR-001\EventLogs\Security.evtx","3BAFA8E28E9F060A5F984F0B8365048B07DCA68D9E76D53201E8861697EFC127","39915520","2026-09-20T14:21:58.0324711Z"
"C:\Evidence\Scaffold-IR-001\EventLogs\Security.csv","AFB5B1BD515A7BF174F7BBC0ECEB828A9B5FF32FFC4E7712AFD4A350418FA473","29741030","2026-09-20T14:30:19.5949732Z"
"C:\Evidence\Scaffold-IR-001\EventLogs\System.evtx","4769521F87EC065998F8A1F6CAC663B19676DEF993C0C7100DEF07271B92C4C4","3215360","2026-09-20T14:30:19.7824686Z"
"C:\Evidence\Scaffold-IR-001\EventLogs\System.csv","B319C859834AB8C35B838956502C114A2A4E806228BE1E3C53A501840937C1DB","1195067","2026-09-20T14:30:25.8918559Z"
"C:\Evidence\Scaffold-IR-001\EventLogs\Application.evtx","83535D47D03A05601347203DEB579D04D96D3529F02CF9AABEDE98BDE27ADCCB","3215360","2026-09-20T14:30:26.0337327Z"
"C:\Evidence\Scaffold-IR-001\EventLogs\Application.csv","6619A1ED78E83040F589DDDFBDF8C2E2AAFE93DB2E48C970BC02990F7DAA5CC9","1319613","2026-09-20T14:30:34.7981248Z"
"C:\Evidence\Scaffold-IR-001\EventLogs\Directory Service.evtx","268ADBE6D8A76DC16BA6D479A6FF43B4B392A2651CFB381AB0C4F9726D3FECC7","1118208","2026-09-20T14:30:34.9074705Z"
"C:\Evidence\Scaffold-IR-001\EventLogs\Directory Service.csv","C71618BFA69AA4D9F020E67082E4E18EB28EF19A94447022B1D389E1EF870377","562440","2026-09-20T14:30:41.9387203Z"
"C:\Evidence\Scaffold-IR-001\EventLogs\DNS Server.evtx","F43EA56537A8CAED2A089FEA45B7F32FA06415BE1654C3CA45160FB195C86B43","1118208","2026-09-20T14:30:42.0793416Z"
"C:\Evidence\Scaffold-IR-001\EventLogs\DNS Server.csv","A3A95B6FC45E430F1873C97854FFDC7DB4DDCCD844925B7ADE8E35F844353EA5","131800","2026-09-20T14:30:42.2512268Z"
