TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,Binary,Name,VirtualizationID,attributes_Name,param1,param2,param3,param4
2026-05-13T14:42:33.079208Z,2,dc,Microsoft-Windows-DNS-Server-Service,DNS Server,1,4,,DNS_EVENT_STARTUP_OK,,,,,,
2026-05-13T14:43:05.205123Z,2631,dc,Microsoft-Windows-DNS-Server-Service,DNS Server,2,4,5C250000,,,DNS_EVENT_AUTOCONFIG_SUCCEEDED,DNS server forwarders,DNS resolver,,
2026-05-13T14:43:05.207492Z,3150,dc,Microsoft-Windows-DNS-Server-Service,DNS Server,3,4,,,,DNS_EVENT_ZONE_WRITE_COMPLETED,1,scaffold.htb,scaffold.htb.dns,
2026-05-13T14:43:05.222917Z,3150,dc,Microsoft-Windows-DNS-Server-Service,DNS Server,4,4,,,,DNS_EVENT_ZONE_WRITE_COMPLETED,1,_msdcs.scaffold.htb,_msdcs.scaffold.htb.dns,
2026-05-13T14:43:26.627452Z,3150,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,5,4,,,,DNS_EVENT_ZONE_WRITE_COMPLETED,2,scaffold.htb,scaffold.htb.dns,
2026-05-13T14:43:26.630442Z,3,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,6,4,,DNS_EVENT_SHUTDOWN,,,,,,
2026-05-13T14:43:51.715726Z,7693,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,7,4,,,,DNS_EVENT_SCOPE_EDNS_OPCODE_SET,65433,,,
2026-05-13T14:43:57.138536Z,4013,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,8,3,,DNS_EVENT_DS_OPEN_WAIT,,,,,,
2026-05-13T14:44:21.572413Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,9,4,,,.,DNS_EVENT_ZONE_LOAD_OK,_msdcs.scaffold.htb,_msdcs.scaffold.htb.dns,dc.scaffold.htb,
2026-05-13T14:44:21.572632Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,10,4,,,.,DNS_EVENT_ZONE_LOAD_OK,scaffold.htb,scaffold.htb.dns,dc.scaffold.htb,
2026-05-13T14:44:21.572634Z,4,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,11,4,,DNS_EVENT_ZONE_LOAD_COMPLETE,,,,,,
2026-05-13T14:44:21.679623Z,2,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,12,4,,DNS_EVENT_STARTUP_OK,,,,,,
2026-05-13T14:44:24.722706Z,4500,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,13,4,,,,DNS_EVENT_DP_CREATED,DomainDnsZones.scaffold.htb,"DC=DomainDnsZones,DC=scaffold,DC=htb",,
2026-05-13T14:44:24.735106Z,4500,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,14,4,,,,DNS_EVENT_DP_CREATED,ForestDnsZones.scaffold.htb,"DC=ForestDnsZones,DC=scaffold,DC=htb",,
2026-05-13T14:45:12.586793Z,5501,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,15,4,84728183010000000300000004777061640B6C6F63616C646F6D61696E0000010001000006000100000005004001610C726F6F742D73657276657273036E657400056E73746C640C766572697369676E2D67727303636F6D0078C316E4000007080000038400093A800001518000002E00010000000501130006080000015180,,,DNS_EVENT_BAD_PACKET_LENGTH,192.168.116.2,,,
2026-05-13T14:55:12.978396Z,5501,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,16,4,50298183010000000300000004777061640B6C6F63616C646F6D61696E0000010001000006000100000005004001610C726F6F742D73657276657273036E657400056E73746C640C766572697369676E2D67727303636F6D0078C316E4000007080000038400093A800001518000002E00010000000501130006080000015180,,,DNS_EVENT_BAD_PACKET_LENGTH,192.168.116.2,,,
2026-05-13T15:12:59.973703Z,5501,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,17,4,7C9A8183010000000300000004777061640B6C6F63616C646F6D61696E0000010001000006000100000005004001610C726F6F742D73657276657273036E657400056E73746C640C766572697369676E2D67727303636F6D0078C316E4000007080000038400093A800001518000002E00010000000501130006080000015180,,,DNS_EVENT_BAD_PACKET_LENGTH,192.168.116.2,,,
2026-05-13T15:16:29.400703Z,407,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,18,2,41270000,,,DNS_EVENT_CANNOT_BIND_UDP_SOCKET,169.254.176.35,,,
2026-05-13T15:16:29.400749Z,408,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,19,2,,,,DNS_EVENT_OPEN_SOCKET_FOR_ADDRESS,169.254.176.35,,,
2026-05-13T15:16:29.403752Z,404,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,20,2,41270000,,,DNS_EVENT_CANNOT_BIND_TCP_SOCKET,169.254.176.35,,,
2026-05-13T15:16:29.403760Z,408,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,21,2,,,,DNS_EVENT_OPEN_SOCKET_FOR_ADDRESS,169.254.176.35,,,
2026-05-13T15:27:33.919319Z,407,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,22,2,41270000,,,DNS_EVENT_CANNOT_BIND_UDP_SOCKET,192.168.100.6,,,
2026-05-13T15:27:33.919331Z,408,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,23,2,,,,DNS_EVENT_OPEN_SOCKET_FOR_ADDRESS,192.168.100.6,,,
2026-05-13T15:27:33.920527Z,404,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,24,2,41270000,,,DNS_EVENT_CANNOT_BIND_TCP_SOCKET,192.168.100.6,,,
2026-05-13T15:27:33.920531Z,408,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,25,2,,,,DNS_EVENT_OPEN_SOCKET_FOR_ADDRESS,192.168.100.6,,,
2026-05-13T17:06:18.173532Z,3,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,26,4,,DNS_EVENT_SHUTDOWN,,,,,,
2026-05-13T20:08:02.994987Z,7693,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,27,4,,,,DNS_EVENT_SCOPE_EDNS_OPCODE_SET,65433,,,
2026-05-13T20:08:11.006188Z,4013,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,28,3,,DNS_EVENT_DS_OPEN_WAIT,,,,,,
2026-05-13T20:08:31.678685Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,29,4,,,.,DNS_EVENT_ZONE_LOAD_OK,_msdcs.scaffold.htb,NULL,dc.scaffold.htb,
2026-05-13T20:08:31.683847Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,30,4,,,.,DNS_EVENT_ZONE_LOAD_OK,scaffold.htb,NULL,dc.scaffold.htb,
2026-05-13T20:08:31.833185Z,2,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,31,4,,DNS_EVENT_STARTUP_OK,,,,,,
2026-05-13T20:08:32.205691Z,4,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,32,4,,DNS_EVENT_ZONE_LOAD_COMPLETE,,,,,,
2026-05-13T23:17:26.737824Z,3,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,33,4,,DNS_EVENT_SHUTDOWN,,,,,,
2026-05-13T23:17:58.051550Z,7693,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,34,4,,,,DNS_EVENT_SCOPE_EDNS_OPCODE_SET,65433,,,
2026-05-13T23:18:03.241918Z,4013,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,35,3,,DNS_EVENT_DS_OPEN_WAIT,,,,,,
2026-05-13T23:18:27.948257Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,36,4,,,.,DNS_EVENT_ZONE_LOAD_OK,_msdcs.scaffold.htb,NULL,dc.scaffold.htb,
2026-05-13T23:18:27.950058Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,37,4,,,.,DNS_EVENT_ZONE_LOAD_OK,scaffold.htb,NULL,dc.scaffold.htb,
2026-05-13T23:18:28.044707Z,2,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,38,4,,DNS_EVENT_STARTUP_OK,,,,,,
2026-05-13T23:18:28.458168Z,4,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,39,4,,DNS_EVENT_ZONE_LOAD_COMPLETE,,,,,,
2026-05-14T00:52:02.937528Z,3,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,40,4,,DNS_EVENT_SHUTDOWN,,,,,,
2026-05-14T18:52:17.343140Z,7693,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,41,4,,,,DNS_EVENT_SCOPE_EDNS_OPCODE_SET,65433,,,
2026-05-14T18:52:22.635483Z,4013,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,42,3,,DNS_EVENT_DS_OPEN_WAIT,,,,,,
2026-05-14T18:52:47.111008Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,43,4,,,.,DNS_EVENT_ZONE_LOAD_OK,_msdcs.scaffold.htb,NULL,dc.scaffold.htb,
2026-05-14T18:52:47.113076Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,44,4,,,.,DNS_EVENT_ZONE_LOAD_OK,scaffold.htb,NULL,dc.scaffold.htb,
2026-05-14T18:52:47.206914Z,2,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,45,4,,DNS_EVENT_STARTUP_OK,,,,,,
2026-05-14T18:52:47.627108Z,4,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,46,4,,DNS_EVENT_ZONE_LOAD_COMPLETE,,,,,,
2026-05-14T23:41:10.598213Z,3,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,47,4,,DNS_EVENT_SHUTDOWN,,,,,,
2026-05-15T14:55:20.920706Z,7693,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,48,4,,,,DNS_EVENT_SCOPE_EDNS_OPCODE_SET,65433,,,
2026-05-15T14:55:26.475029Z,4013,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,49,3,,DNS_EVENT_DS_OPEN_WAIT,,,,,,
2026-05-15T14:55:50.729223Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,50,4,,,.,DNS_EVENT_ZONE_LOAD_OK,_msdcs.scaffold.htb,NULL,dc.scaffold.htb,
2026-05-15T14:55:50.731548Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,51,4,,,.,DNS_EVENT_ZONE_LOAD_OK,scaffold.htb,NULL,dc.scaffold.htb,
2026-05-15T14:55:50.825052Z,2,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,52,4,,DNS_EVENT_STARTUP_OK,,,,,,
2026-05-15T14:55:51.238034Z,4,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,53,4,,DNS_EVENT_ZONE_LOAD_COMPLETE,,,,,,
2026-05-15T14:57:05.645051Z,407,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,54,2,41270000,,,DNS_EVENT_CANNOT_BIND_UDP_SOCKET,169.254.33.238,,,
2026-05-15T14:57:05.645059Z,408,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,55,2,,,,DNS_EVENT_OPEN_SOCKET_FOR_ADDRESS,169.254.33.238,,,
2026-05-15T14:57:05.646243Z,404,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,56,2,41270000,,,DNS_EVENT_CANNOT_BIND_TCP_SOCKET,169.254.33.238,,,
2026-05-15T14:57:05.646247Z,408,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,57,2,,,,DNS_EVENT_OPEN_SOCKET_FOR_ADDRESS,169.254.33.238,,,
2026-05-15T15:13:42.246996Z,3,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,58,4,,DNS_EVENT_SHUTDOWN,,,,,,
2026-05-15T15:16:59.129002Z,7693,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,59,4,,,,DNS_EVENT_SCOPE_EDNS_OPCODE_SET,65433,,,
2026-05-15T15:17:04.317746Z,4013,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,60,3,,DNS_EVENT_DS_OPEN_WAIT,,,,,,
2026-05-15T15:17:28.995067Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,61,4,,,.,DNS_EVENT_ZONE_LOAD_OK,_msdcs.scaffold.htb,NULL,dc.scaffold.htb,
2026-05-15T15:17:28.997985Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,62,4,,,.,DNS_EVENT_ZONE_LOAD_OK,scaffold.htb,NULL,dc.scaffold.htb,
