TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,Binary,Data_text,Data_text_0,Data_text_1,Data_text_10,Data_text_11,Data_text_2,Data_text_3,Data_text_4,Data_text_5,Data_text_6,Data_text_7,Data_text_8,Data_text_9
2026-05-13T14:42:50.930252Z,"{'#attributes': {'Qualifiers': 0}, '#text': 102}",dc,NTDS ISAM,Directory Service,1,4,,,NTDS,"724,P,98",,,NTDSA: ,0,10,00,20348,0000,,
2026-05-13T14:42:50.947201Z,"{'#attributes': {'Qualifiers': 0}, '#text': 105}",dc,NTDS ISAM,Directory Service,2,4,,,NTDS,"724,D,0",,,NTDSA: ,0,0,"
[1] 0.000270 +J(0) +M(C:0K, Fs:62, WS:228K # 0K, PF:2432K # 0K, P:2432K)
[2] 0.000134 +J(0) +M(C:16K, Fs:69, WS:272K # 0K, PF:288K # 0K, P:288K)
[3] 0.000019 +J(0) +M(C:0K, Fs:5, WS:16K # 0K, PF:936K # 0K, P:936K)
[4] 0.001847 -0.000116 (1) WT +J(0) +M(C:0K, Fs:136, WS:464K # 0K, PF:5896K # 656K, P:5896K)
[5] 0.000127 +J(0)
[6] 0.000407 +J(0) +M(C:0K, Fs:1, WS:4K # 0K, PF:12K # 12K, P:12K)
[7] -
[8] -
[9] -
[10] -
[11] -
[12] -
[13] 0.013109 -0.003448 (24) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:616/1) +M(C:0K, Fs:2696, WS:528K # 5764K, PF:4K # 10260K, P:4K)
[14] 0.000013 +J(0)
[15] 0.000286 +J(0) +M(C:0K, Fs:411, WS:1640K # 0K, PF:68K # 0K, P:68K)
[16] 0.001915 -0.000052 (1) WT +J(0) +M(C:0K, Fs:2, WS:0K # 0K, PF:0K # 0K, P:0K).",,,,
2026-05-13T14:42:50.950573Z,"{'#attributes': {'Qualifiers': 0}, '#text': 330}",dc,NTDS ISAM,Directory Service,3,4,,,NTDS,"724,D,50",,,NTDSA: ,C:\Windows\NTDS\ntds.dit,0x22D8 (8920),8920 (0x22d8),9360 (0x2490),,,
2026-05-13T14:42:50.950573Z,"{'#attributes': {'Qualifiers': 0}, '#text': 643}",dc,NTDS ISAM,Directory Service,4,3,,,NTDS,"724,D,50",,,NTDSA: ,C:\Windows\NTDS\ntds.dit,en-US,00000001-57ee-1e5c-00b4-d0000bb1e11e,0006020F0006020F,00000001-57ee-1e5c-00b4-d0000bb1e11e,0006040300060403,
2026-05-13T14:42:50.950573Z,"{'#attributes': {'Qualifiers': 0}, '#text': 609}",dc,NTDS ISAM,Directory Service,5,4,,,NTDS,"724,D,50",20348,0,NTDSA: ,C:\Windows\NTDS\ntds.dit,10,0,17025,0,10,0
2026-05-13T14:42:50.966336Z,"{'#attributes': {'Qualifiers': 0}, '#text': 614}",dc,NTDS ISAM,Directory Service,6,3,,,NTDS,"724,D,50",,,NTDSA: ,C:\Windows\NTDS\ntds.dit,INDEX_00000003,datatable,,,,
2026-05-13T14:42:50.970396Z,"{'#attributes': {'Qualifiers': 0}, '#text': 327}",dc,NTDS ISAM,Directory Service,7,4,,,NTDS,"724,D,50",,,NTDSA: ,1,C:\Windows\NTDS\ntds.dit,0,"
[1] 0.000002 +J(0)
[2] 0.0 +J(0)
[3] 0.000002 +J(0)
[4] 0.0 +J(0)
[5] 0.0 +J(0)
[6] 0.000794 -0.000296 (4) WT +J(0) +M(C:-12K, Fs:0, WS:-12K # 0K, PF:-12K # 0K, P:-12K)
[7] 0.000015 +J(0)
[8] 0.000417 -0.000076 (2) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:2949/2)
[9] 0.001349 -0.000557 (6) WT +J(0) +M(C:0K, Fs:5, WS:-16K # 0K, PF:-16K # 0K, P:-16K)
[10] 0.000112 +J(0)
[11] 0.000041 +J(0) +M(C:0K, Fs:0, WS:-8K # 0K, PF:-8K # 0K, P:-8K).",0 0,lgposDetach = 00000001:0002:047B,
2026-05-13T14:42:50.972400Z,"{'#attributes': {'Qualifiers': 0}, '#text': 330}",dc,NTDS ISAM,Directory Service,8,4,,,NTDS,"724,D,50",,,NTDSA: ,C:\Windows\NTDS\ntds.dit,0x22D8 (8920),8920 (0x22d8),9360 (0x2490),,,
2026-05-13T14:42:50.975207Z,"{'#attributes': {'Qualifiers': 0}, '#text': 326}",dc,NTDS ISAM,Directory Service,9,4,,,NTDS,"724,D,50",,,NTDSA: ,1,C:\Windows\NTDS\ntds.dit,0,"
[1] 0.000001 +J(0)
[2] 0.000212 -0.000069 (1) WT +J(0) +M(C:0K, Fs:18, WS:8K # 0K, PF:8K # 0K, P:8K)
[3] 0.001417 -0.000421 (6) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:4096/2) +M(C:0K, Fs:8, WS:24K # 0K, PF:20K # 0K, P:20K)
[4] 0.000125 +J(0)
[5] -
[6] -
[7] -
[8] 0.000806 -0.000225 (2) CM -0.000129 (2) WT +J(CM:2, PgRf:2, Rd:8/2, Dy:0/0, Lg:0/0) +M(C:40K, Fs:12, WS:40K # 0K, PF:40K # 0K, P:40K)
[9] 0.000816 -0.000591 (6) CM -0.000338 (6) WT +J(CM:6, PgRf:24, Rd:0/6, Dy:0/0, Lg:0/0) +M(C:-8K, Fs:3, WS:-8K # 0K, PF:-8K # 0K, P:-8K)
[10] 0.000459 -0.000349 (3) CM -0.000232 (3) WT +J(CM:3, PgRf:40, Rd:0/3, Dy:0/0, Lg:0/0) +M(C:-4K, Fs:1, WS:-4K # 0K, PF:-4K # 0K, P:-4K)
[11] 0.000005 +J(CM:0, PgRf:1, Rd:0/0, Dy:0/0, Lg:0/0)
[12] 0.0 +J(0)
[13] 0.0 +J(0)
[14] 0.0 +J(0)
[15] 0.000573 -0.000173 (2) WT +J(CM:0, PgRf:1, Rd:0/0, Dy:0/0, Lg:0/0) +M(C:0K, Fs:2, WS:0K # 0K, PF:0K # 0K, P:0K).",1 0,"lgposAttach = 00000001:0003:0000,
dbv = 1568.20.0 (8920)",
2026-05-13T14:42:50.980238Z,"{'#attributes': {'Qualifiers': 0}, '#text': 330}",dc,NTDS ISAM,Directory Service,10,4,,,NTDS,"724,D,2",,,NTDSA: ,C:\Windows\NTDS\temp.edb,0x22D8 (8920),8920 (0x22d8),9360 (0x2490),,,
