TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,CONSUMER,ClientMachine,ClientProcessId,Code,Component,ESS,HostProcess,Id,Namespace,NamespaceName,Operation,PossibleCause,ProcessID,Processid,ProviderName,ProviderPath,Query,ResultCode,User,attributes_xmlns,queryid
2026-05-23T12:01:53.743862Z,5858,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,2067,2,,DC,1552,,Unknown,,,{4E28A970-4CD6-4AA0-865B-7D9182C5B962},,,"Start IWbemServices::DeleteInstance - Root\Rsop\Computer : RSOP_ExtensionStatus.extensionGuid=""{7150F9BF-48AD-4da4-A49C-29EF4A8369BA}""",Unknown,,,,,,0x80041002,NT AUTHORITY\SYSTEM,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-05-23T12:01:53.744133Z,5858,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,2068,2,,DC,1552,,Unknown,,,{4E28A970-4CD6-4AA0-865B-7D9182C5B962},,,"Start IWbemServices::DeleteInstance - Root\Rsop\Computer : RSOP_ExtensionStatus.extensionGuid=""{728EE579-943C-4519-9EF7-AB56765798ED}""",Unknown,,,,,,0x80041002,NT AUTHORITY\SYSTEM,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-05-23T12:01:53.744374Z,5858,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,2069,2,,DC,1552,,Unknown,,,{4E28A970-4CD6-4AA0-865B-7D9182C5B962},,,"Start IWbemServices::DeleteInstance - Root\Rsop\Computer : RSOP_ExtensionStatus.extensionGuid=""{74EE6C03-5363-4554-B161-627540339CAB}""",Unknown,,,,,,0x80041002,NT AUTHORITY\SYSTEM,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-05-23T12:01:53.744611Z,5858,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,2070,2,,DC,1552,,Unknown,,,{4E28A970-4CD6-4AA0-865B-7D9182C5B962},,,"Start IWbemServices::DeleteInstance - Root\Rsop\Computer : RSOP_ExtensionStatus.extensionGuid=""{7909AD9E-09EE-4247-BAB9-7029D5F0A278}""",Unknown,,,,,,0x80041002,NT AUTHORITY\SYSTEM,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-05-23T12:01:53.744854Z,5858,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,2071,2,,DC,1552,,Unknown,,,{4E28A970-4CD6-4AA0-865B-7D9182C5B962},,,"Start IWbemServices::DeleteInstance - Root\Rsop\Computer : RSOP_ExtensionStatus.extensionGuid=""{7933F41E-56F8-41d6-A31C-4148A711EE93}""",Unknown,,,,,,0x80041002,NT AUTHORITY\SYSTEM,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-05-23T12:01:53.745136Z,5858,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,2072,2,,DC,1552,,Unknown,,,{4E28A970-4CD6-4AA0-865B-7D9182C5B962},,,"Start IWbemServices::DeleteInstance - Root\Rsop\Computer : RSOP_ExtensionStatus.extensionGuid=""{7B849a69-220F-451E-B3FE-2CB811AF94AE}""",Unknown,,,,,,0x80041002,NT AUTHORITY\SYSTEM,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-05-23T12:01:54.067995Z,5858,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,2073,2,,DC,1552,,Unknown,,,{4E28A970-4CD6-4AA0-865B-7D9182C5B962},,,"Start IWbemServices::DeleteInstance - Root\Rsop\Computer : RSOP_ExtensionStatus.extensionGuid=""{8A28E2C5-8D06-49A4-A08C-632DAA493E17}""",Unknown,,,,,,0x80041002,NT AUTHORITY\SYSTEM,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-05-23T12:01:54.068301Z,5858,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,2074,2,,DC,1552,,Unknown,,,{4E28A970-4CD6-4AA0-865B-7D9182C5B962},,,"Start IWbemServices::DeleteInstance - Root\Rsop\Computer : RSOP_ExtensionStatus.extensionGuid=""{91FBB303-0CD5-4055-BF42-E512A681B325}""",Unknown,,,,,,0x80041002,NT AUTHORITY\SYSTEM,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-05-23T12:01:54.068603Z,5858,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,2075,2,,DC,1552,,Unknown,,,{4E28A970-4CD6-4AA0-865B-7D9182C5B962},,,"Start IWbemServices::DeleteInstance - Root\Rsop\Computer : RSOP_ExtensionStatus.extensionGuid=""{A3F3E39B-5D83-4940-B954-28315B82F0A8}""",Unknown,,,,,,0x80041002,NT AUTHORITY\SYSTEM,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-05-23T12:01:54.068843Z,5858,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,2076,2,,DC,1552,,Unknown,,,{4E28A970-4CD6-4AA0-865B-7D9182C5B962},,,"Start IWbemServices::DeleteInstance - Root\Rsop\Computer : RSOP_ExtensionStatus.extensionGuid=""{AADCED64-746C-4633-A97C-D61349046527}""",Unknown,,,,,,0x80041002,NT AUTHORITY\SYSTEM,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-05-23T12:01:54.069169Z,5858,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,2077,2,,DC,1552,,Unknown,,,{4E28A970-4CD6-4AA0-865B-7D9182C5B962},,,"Start IWbemServices::DeleteInstance - Root\Rsop\Computer : RSOP_ExtensionStatus.extensionGuid=""{B087BE9D-ED37-454f-AF9C-04291E351182}""",Unknown,,,,,,0x80041002,NT AUTHORITY\SYSTEM,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-05-23T12:01:54.069471Z,5858,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,2078,2,,DC,1552,,Unknown,,,{4E28A970-4CD6-4AA0-865B-7D9182C5B962},,,"Start IWbemServices::DeleteInstance - Root\Rsop\Computer : RSOP_ExtensionStatus.extensionGuid=""{B587E2B1-4D59-4e7e-AED9-22B9DF11D053}""",Unknown,,,,,,0x80041002,NT AUTHORITY\SYSTEM,http://manifests.microsoft.com/win/2006/windows/WMI,
