TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,AccountName,Address,AddressLength,AppPoolID,BackupPath,Binary,BitlockerUserInputTime,BootMenuPolicy,BootMode,BootStatusPolicy,BootType,BuildVersion,ChannelPath,Config,ConfigurationReader,CorruptionActionState,CountNew,CountOld,CurrentBias,CurrentTimeZoneID,DCName,Data_text,Data_text_0,Data_text_1,Data_text_2,Data_text_3,Data_text_4,Data_text_5,Data_text_6,Default SD String:,DeviceName,DeviceNameLength,DeviceObject,DeviceTime,DeviceVersionMajor,DeviceVersionMinor,DirtyPages,Domain,DriveName,DwordVal,EfiDaylightFlags,EfiTime,EfiTimeZoneBias,EnableDisableReason,EnabledNew,EntryCount,Error,ErrorCode,ErrorMessage,ExitReason,FailureReason,FinalStatus,FirstRefresh,Group,HiveName,HiveNameLength,IdleImplementation,IdleStateCount,ImagePath,IsTestConfig,KeysUpdated,LastBootGood,LastBootId,LastShutdownGood,LoadOptions,MajorVersion,MaximumPerformancePercent,MinimumPasswordLength,MinimumPasswordLengthAudit,MinimumPerformancePercent,MinimumThrottlePercent,MinorVersion,Minutes,Name,NewSchemeGuid,NewSize,NewTime,NextUpdate,NominalFrequency,Number,NumberOfGroupPolicyObjects,OCSPResponderURL,OldSchemeGuid,OldTime,OriginalSize,PerformanceImplementation,ProcessID,ProcessName,ProcessPath,ProcessPid,ProcessingMode,ProcessingTimeInMilliseconds,Protocol,QfeVersion,QueryName,Reason,RelaxMinimumPasswordLengthLimits,RunningMode,ServiceName,ServiceType,ServiceVersion,ShutdownActionType,ShutdownEventCode,ShutdownReason,StartTime,StartType,State,Status,StopTime,SubjectDomainName,SubjectUserName,SupportInfo1,SupportInfo2,TSId,Target,ThisUpdate,TimeZoneInfoCacheUpdated,Type,UpdateReason,Url,UserName,UserSid,Username,VsmPolicy,attributes_Name,attributes_xmlns,error,errorCode,param1,param10,param11,param2,param3,param4,param5,param6,param7,param8,param9,serviceGuid,spn1,spn2,updateGuid,updateRevisionNumber,updateTitle
2026-05-25T14:55:47.042236Z,104,dc.scaffold.htb,Microsoft-Windows-Eventlog,System,10254,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCAFFOLD,Administrator,,,,,,,,,,,,,,,http://manifests.microsoft.com/win/2004/08/windows/eventlog,,,,,,,,,,,,,,,,,,,
2026-05-25T14:55:54.323433Z,104,dc.scaffold.htb,Microsoft-Windows-Eventlog,Setup,10255,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCAFFOLD,Administrator,,,,,,,,,,,,,,,http://manifests.microsoft.com/win/2004/08/windows/eventlog,,,,,,,,,,,,,,,,,,,
2026-05-25T14:55:58.931298Z,104,dc.scaffold.htb,Microsoft-Windows-Eventlog,ForwardedEvents,10256,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCAFFOLD,Administrator,,,,,,,,,,,,,,,http://manifests.microsoft.com/win/2004/08/windows/eventlog,,,,,,,,,,,,,,,,,,,
2026-05-25T14:57:30.201285Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 7036}",dc.scaffold.htb,Service Control Manager,System,10257,4,,,,,,41007000700058005300760063002F0031000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AppX Deployment Service (AppXSVC),,,stopped,,,,,,,,,,,,,
2026-05-25T14:58:05.270159Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 7036}",dc.scaffold.htb,Service Control Manager,System,10258,4,,,,,,570064006900530079007300740065006D0048006F00730074002F0034000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic System Host,,,running,,,,,,,,,,,,,
2026-05-25T15:02:13.849888Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 7036}",dc.scaffold.htb,Service Control Manager,System,10259,4,,,,,,4E0065007400530065007400750070005300760063002F0034000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Network Setup Service,,,running,,,,,,,,,,,,,
2026-05-25T15:02:17.939330Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 7036}",dc.scaffold.htb,Service Control Manager,System,10260,4,,,,,,770075006100750073006500720076002F0031000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows Update,,,stopped,,,,,,,,,,,,,
2026-05-25T15:03:41.711289Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 7036}",dc.scaffold.htb,Service Control Manager,System,10261,4,,,,,,77006C00690064007300760063002F0031000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Account Sign-in Assistant,,,stopped,,,,,,,,,,,,,
2026-05-25T15:03:46.803699Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 7036}",dc.scaffold.htb,Service Control Manager,System,10262,4,,,,,,4E0065007400530065007400750070005300760063002F0031000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Network Setup Service,,,stopped,,,,,,,,,,,,,
2026-05-25T15:05:42.064093Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 7036}",dc.scaffold.htb,Service Control Manager,System,10263,4,,,,,,41007000700058005300760063002F0034000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AppX Deployment Service (AppXSVC),,,running,,,,,,,,,,,,,
