TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,ActionName,EnginePID,InstanceId,Name,Path,Priority,ProcessID,QueuedTaskInstanceId,ResultCode,RunningTaskInstanceId,TaskInstanceId,TaskName,UserContext,UserName,attributes_Name
2026-05-13T14:43:43.276457Z,129,dc.scaffold.htb,Microsoft-Windows-TaskScheduler,Microsoft-Windows-TaskScheduler/Operational,1,4,,,,,%windir%\system32\wermgr.exe,16384,2532,,,,,\Microsoft\Windows\Windows Error Reporting\QueueReporting,,,CreatedTaskProcess
2026-05-13T14:43:43.276651Z,100,dc.scaffold.htb,Microsoft-Windows-TaskScheduler,Microsoft-Windows-TaskScheduler/Operational,2,4,,,5120647D-CD71-4BD9-AA1E-D9C89A722B66,,,,,,,,,\Microsoft\Windows\Windows Error Reporting\QueueReporting,NT AUTHORITY\SYSTEM,,TaskStartEvent
2026-05-13T14:43:43.276653Z,200,dc.scaffold.htb,Microsoft-Windows-TaskScheduler,Microsoft-Windows-TaskScheduler/Operational,3,4,%windir%\system32\wermgr.exe,2532,,,,,,,,,5120647D-CD71-4BD9-AA1E-D9C89A722B66,\Microsoft\Windows\Windows Error Reporting\QueueReporting,,,ActionStart
2026-05-13T14:43:43.349733Z,100,dc.scaffold.htb,Microsoft-Windows-TaskScheduler,Microsoft-Windows-TaskScheduler/Operational,4,4,,,7F758396-ED3F-4188-B973-BE2C3E96F5B3,,,,,,,,,\Microsoft\Windows\WwanSvc\OobeDiscovery,NT AUTHORITY\SYSTEM,,TaskStartEvent
2026-05-13T14:43:43.349734Z,200,dc.scaffold.htb,Microsoft-Windows-TaskScheduler,Microsoft-Windows-TaskScheduler/Operational,5,4,OobeEsimTaskManager,2068,,,,,,,,,7F758396-ED3F-4188-B973-BE2C3E96F5B3,\Microsoft\Windows\WwanSvc\OobeDiscovery,,,ActionStart
2026-05-13T14:43:43.391495Z,201,dc.scaffold.htb,Microsoft-Windows-TaskScheduler,Microsoft-Windows-TaskScheduler/Operational,6,4,%windir%\system32\dxgiadaptercache.exe,2052,,,,,,,0,,1979F7DD-7658-455C-9CC5-F3E9FE874E85,\Microsoft\Windows\DirectX\DXGIAdapterCache,,,ActionSuccess
2026-05-13T14:43:43.391642Z,102,dc.scaffold.htb,Microsoft-Windows-TaskScheduler,Microsoft-Windows-TaskScheduler/Operational,7,4,,,1979F7DD-7658-455C-9CC5-F3E9FE874E85,,,,,,,,,\Microsoft\Windows\DirectX\DXGIAdapterCache,NT AUTHORITY\SYSTEM,,TaskSuccessEvent
2026-05-13T14:43:43.400889Z,129,dc.scaffold.htb,Microsoft-Windows-TaskScheduler,Microsoft-Windows-TaskScheduler/Operational,8,4,,,,,taskhostw.exe,16384,2576,,,,,\Microsoft\Windows\Time Synchronization\ForceSynchronizeTime,,,CreatedTaskProcess
2026-05-13T14:43:43.401030Z,100,dc.scaffold.htb,Microsoft-Windows-TaskScheduler,Microsoft-Windows-TaskScheduler/Operational,9,4,,,E227230F-9F4D-4B6F-8741-563055CEB274,,,,,,,,,\Microsoft\Windows\Time Synchronization\ForceSynchronizeTime,(NONE),,TaskStartEvent
2026-05-13T14:43:43.401031Z,200,dc.scaffold.htb,Microsoft-Windows-TaskScheduler,Microsoft-Windows-TaskScheduler/Operational,10,4,Time Synchronization Task Handler,2576,,,,,,,,,E227230F-9F4D-4B6F-8741-563055CEB274,\Microsoft\Windows\Time Synchronization\ForceSynchronizeTime,,,ActionStart
