"No.","Time","Source","Destination","Protocol","Length","Info"
"1663","11.496965","fe80::2068:fe84:5fc8:efb7","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"1664","11.497148","172.17.79.135","224.0.0.22","IGMPv3","62","Membership Report / Join group 224.0.0.252 for any sources / Join group 224.0.0.251 for any sources"
"1666","11.510185","172.17.79.135","255.255.255.255","DHCP","311","DHCP Discover - Transaction ID 0xa7ea9ba0"
"1717","11.952886","172.17.79.135","224.0.0.22","IGMPv3","62","Membership Report / Join group 224.0.0.252 for any sources / Join group 224.0.0.251 for any sources"
"1718","11.952976","fe80::2068:fe84:5fc8:efb7","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"9241","68.194648","172.17.79.136","172.17.79.4","DNS","78","Standard query 0xf088 A DCC01.forela.local"
"9242","68.195453","172.17.79.4","172.17.79.136","DNS","142","Standard query response 0xf088 No such name A DCC01.forela.local SOA dc01.forela.local"
"9243","68.196002","172.17.79.136","172.17.79.4","DNS","77","Standard query 0x5cef A DCC01.localdomain"
"9244","68.196249","172.17.79.4","172.17.79.2","DNS","88","Standard query 0x0d72 A DCC01.localdomain OPT"
"9254","68.430165","172.17.79.2","172.17.79.4","DNS","1081","Standard query response 0x0d72 No such name A DCC01.localdomain SOA a.root-servers.net RRSIG NSEC locker RRSIG NSEC aaa RRSIG OPT"
"9255","68.431184","172.17.79.4","172.17.79.136","DNS","152","Standard query response 0x5cef No such name A DCC01.localdomain SOA a.root-servers.net"
"9257","68.432110","172.17.79.136","224.0.0.251","MDNS","71","Standard query 0x0000 A DCC01.local, ""QM"" question"
"9258","68.432467","fe80::7994:1860:711:c243","ff02::fb","MDNS","91","Standard query 0x0000 A DCC01.local, ""QM"" question"
"9259","68.432902","172.17.79.136","224.0.0.251","MDNS","71","Standard query 0x0000 AAAA DCC01.local, ""QM"" question"
"9260","68.433133","fe80::7994:1860:711:c243","ff02::fb","MDNS","91","Standard query 0x0000 AAAA DCC01.local, ""QM"" question"
"9261","68.433220","172.17.79.135","172.17.79.136","MDNS","81","Standard query response 0x0000 A 172.17.79.135"
"9262","68.433468","fe80::7994:1860:711:c243","ff02::1:3","LLMNR","85","Standard query 0xe708 A DCC01"
"9263","68.433621","172.17.79.136","224.0.0.252","LLMNR","65","Standard query 0xe708 A DCC01"
"9264","68.433867","fe80::7994:1860:711:c243","ff02::1:3","LLMNR","85","Standard query 0x2c01 AAAA DCC01"
"9265","68.433932","172.17.79.136","224.0.0.252","LLMNR","65","Standard query 0x2c01 AAAA DCC01"
"9266","68.435438","fe80::2068:fe84:5fc8:efb7","fe80::7994:1860:711:c243","MDNS","101","Standard query response 0x0000 A 172.17.79.135"
"9267","68.437431","172.17.79.135","172.17.79.136","MDNS","93","Standard query response 0x0000 AAAA fe80::2068:fe84:5fc8:efb7"
"9268","68.438072","fe80::2068:fe84:5fc8:efb7","fe80::7994:1860:711:c243","LLMNR","106","Standard query response 0xe708 A DCC01 A 172.17.79.135"
"9269","68.440010","172.17.79.135","172.17.79.136","LLMNR","86","Standard query response 0xe708 A DCC01 A 172.17.79.135"
"9270","68.440708","fe80::7994:1860:711:c243","fe80::2068:fe84:5fc8:efb7","TCP","86","51924  >  445 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 WS=256 SACK_PERM"
"9271","68.440868","fe80::2068:fe84:5fc8:efb7","fe80::7994:1860:711:c243","TCP","86","445  >  51924 [SYN, ACK] Seq=0 Ack=1 Win=33120 Len=0 MSS=1440 SACK_PERM WS=128"
"9272","68.441230","fe80::7994:1860:711:c243","fe80::2068:fe84:5fc8:efb7","TCP","74","51924  >  445 [ACK] Seq=1 Ack=1 Win=2108160 Len=0"
"9273","68.441230","fe80::7994:1860:711:c243","fe80::2068:fe84:5fc8:efb7","SMB","147","Session message; Negotiate Protocol"
"9274","68.441285","fe80::2068:fe84:5fc8:efb7","fe80::7994:1860:711:c243","LLMNR","118","Standard query response 0x2c01 AAAA DCC01 AAAA fe80::2068:fe84:5fc8:efb7"
"9275","68.441476","fe80::2068:fe84:5fc8:efb7","fe80::7994:1860:711:c243","TCP","74","445  >  51924 [ACK] Seq=1 Ack=74 Win=33152 Len=0"
